Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS(Visitor),PTS(Home)
Minnesota Timberwolves,Atlanta Hawks,Sun Jan 25 2015,6:00 pm,100,112
Miami Heat,Chicago Bulls,Sun Jan 25 2015,1:00 pm,96,84
Oklahoma City Thunder,Cleveland Cavaliers,Sun Jan 25 2015,3:30 pm,98,108
Washington Wizards,Denver Nuggets,Sun Jan 25 2015,8:00 pm,117,115
Boston Celtics,Golden State Warriors,Sun Jan 25 2015,8:00 pm,111,114
Houston Rockets,Los Angeles Lakers,Sun Jan 25 2015,9:30 pm,99,87
Dallas Mavericks,New Orleans Pelicans,Sun Jan 25 2015,6:00 pm,106,109
Indiana Pacers,Orlando Magic,Sun Jan 25 2015,6:00 pm,106,99
Los Angeles Clippers,Phoenix Suns,Sun Jan 25 2015,6:00 pm,120,100
Milwaukee Bucks,San Antonio Spurs,Sun Jan 25 2015,7:00 pm,95,101
Detroit Pistons,Toronto Raptors,Sun Jan 25 2015,7:00 pm,110,114
Denver Nuggets,Los Angeles Clippers,Mon Jan 26 2015,10:30 pm,98,102
Orlando Magic,Memphis Grizzlies,Mon Jan 26 2015,8:00 pm,94,103
Philadelphia 76ers,New Orleans Pelicans,Mon Jan 26 2015,8:00 pm,74,99
Minnesota Timberwolves,Oklahoma City Thunder,Mon Jan 26 2015,8:00 pm,84,92
Boston Celtics,Utah Jazz,Mon Jan 26 2015,9:00 pm,99,90
Memphis Grizzlies,Dallas Mavericks,Tue Jan 27 2015,8:30 pm,109,90
Cleveland Cavaliers,Detroit Pistons,Tue Jan 27 2015,7:30 pm,103,95
Chicago Bulls,Golden State Warriors,Tue Jan 27 2015,10:30 pm,113,111
Toronto Raptors,Indiana Pacers,Tue Jan 27 2015,7:00 pm,104,91
Washington Wizards,Los Angeles Lakers,Tue Jan 27 2015,10:30 pm,98,92
Milwaukee Bucks,Miami Heat,Tue Jan 27 2015,7:30 pm,109,102
Brooklyn Nets,Atlanta Hawks,Wed Jan 28 2015,8:00 pm,102,113
Portland Trail Blazers,Cleveland Cavaliers,Wed Jan 28 2015,7:00 pm,94,99
Dallas Mavericks,Houston Rockets,Wed Jan 28 2015,8:00 pm,94,99
Boston Celtics,Minnesota Timberwolves,Wed Jan 28 2015,8:00 pm,98,110
Denver Nuggets,New Orleans Pelicans,Wed Jan 28 2015,8:00 pm,93,85
Oklahoma City Thunder,New York Knicks,Wed Jan 28 2015,8:00 pm,92,100
Detroit Pistons,Philadelphia 76ers,Wed Jan 28 2015,7:00 pm,69,89
Washington Wizards,Phoenix Suns,Wed Jan 28 2015,10:30 pm,98,106
Charlotte Hornets,San Antonio Spurs,Wed Jan 28 2015,8:30 pm,86,95
Sacramento Kings,Toronto Raptors,Wed Jan 28 2015,7:30 pm,102,119
Los Angeles Clippers,Utah Jazz,Wed Jan 28 2015,9:00 pm,94,89
New York Knicks,Indiana Pacers,Thu Jan 29 2015,7:00 pm,82,103
Chicago Bulls,Los Angeles Lakers,Thu Jan 29 2015,10:30 pm,118,123
Denver Nuggets,Memphis Grizzlies,Thu Jan 29 2015,8:00 pm,69,99
Milwaukee Bucks,Orlando Magic,Thu Jan 29 2015,7:00 pm,115,100
Portland Trail Blazers,Atlanta Hawks,Fri Jan 30 2015,7:30 pm,99,105
Houston Rockets,Boston Celtics,Fri Jan 30 2015,7:30 pm,93,87
Toronto Raptors,Brooklyn Nets,Fri Jan 30 2015,7:30 pm,127,122
Sacramento Kings,Cleveland Cavaliers,Fri Jan 30 2015,7:30 pm,90,101
Dallas Mavericks,Miami Heat,Fri Jan 30 2015,8:00 pm,93,72
Los Angeles Clippers,New Orleans Pelicans,Fri Jan 30 2015,8:00 pm,103,108
Minnesota Timberwolves,Philadelphia 76ers,Fri Jan 30 2015,7:00 pm,94,103
Chicago Bulls,Phoenix Suns,Fri Jan 30 2015,10:30 pm,93,99
Golden State Warriors,Utah Jazz,Fri Jan 30 2015,9:00 pm,100,110
Philadelphia 76ers,Atlanta Hawks,Sat Jan 31 2015,7:30 pm,85,91
Charlotte Hornets,Denver Nuggets,Sat Jan 31 2015,9:00 pm,104,86
Houston Rockets,Detroit Pistons,Sat Jan 31 2015,7:30 pm,101,114
Phoenix Suns,Golden State Warriors,Sat Jan 31 2015,10:30 pm,87,106
Sacramento Kings,Indiana Pacers,Sat Jan 31 2015,7:00 pm,99,94
Oklahoma City Thunder,Memphis Grizzlies,Sat Jan 31 2015,8:00 pm,74,85
Portland Trail Blazers,Milwaukee Bucks,Sat Jan 31 2015,8:30 pm,88,95
Cleveland Cavaliers,Minnesota Timberwolves,Sat Jan 31 2015,8:00 pm,106,90
Dallas Mavericks,Orlando Magic,Sat Jan 31 2015,7:00 pm,108,93
Los Angeles Clippers,San Antonio Spurs,Sat Jan 31 2015,9:00 pm,105,85
Toronto Raptors,Washington Wizards,Sat Jan 31 2015,7:00 pm,120,116
Miami Heat,Boston Celtics,Sun Feb 1 2015,1:00 pm,83,75
Los Angeles Lakers,New York Knicks,Sun Feb 1 2015,2:00 pm,80,92
Los Angeles Clippers,Brooklyn Nets,Mon Feb 2 2015,7:30 pm,100,102
Philadelphia 76ers,Cleveland Cavaliers,Mon Feb 2 2015,7:00 pm,84,97
Minnesota Timberwolves,Dallas Mavericks,Mon Feb 2 2015,8:30 pm,94,100
Atlanta Hawks,New Orleans Pelicans,Mon Feb 2 2015,8:00 pm,100,115
Orlando Magic,Oklahoma City Thunder,Mon Feb 2 2015,8:00 pm,97,104
Memphis Grizzlies,Phoenix Suns,Mon Feb 2 2015,9:00 pm,102,101
Milwaukee Bucks,Toronto Raptors,Mon Feb 2 2015,7:30 pm,82,75
Charlotte Hornets,Washington Wizards,Mon Feb 2 2015,7:00 pm,92,88
Miami Heat,Detroit Pistons,Tue Feb 3 2015,7:30 pm,91,108
Boston Celtics,New York Knicks,Tue Feb 3 2015,7:30 pm,108,97
Denver Nuggets,Philadelphia 76ers,Tue Feb 3 2015,7:00 pm,98,105
Utah Jazz,Portland Trail Blazers,Tue Feb 3 2015,10:00 pm,102,103
Golden State Warriors,Sacramento Kings,Tue Feb 3 2015,10:00 pm,121,96
Washington Wizards,Atlanta Hawks,Wed Feb 4 2015,7:30 pm,96,105
Denver Nuggets,Boston Celtics,Wed Feb 4 2015,7:30 pm,100,104
Dallas Mavericks,Golden State Warriors,Wed Feb 4 2015,10:30 pm,114,128
Chicago Bulls,Houston Rockets,Wed Feb 4 2015,8:00 pm,90,101
Detroit Pistons,Indiana Pacers,Wed Feb 4 2015,7:00 pm,109,114
Los Angeles Lakers,Milwaukee Bucks,Wed Feb 4 2015,8:00 pm,105,113
Miami Heat,Minnesota Timberwolves,Wed Feb 4 2015,8:00 pm,101,102
Oklahoma City Thunder,New Orleans Pelicans,Wed Feb 4 2015,8:00 pm,102,91
Orlando Magic,San Antonio Spurs,Wed Feb 4 2015,8:30 pm,103,110
Brooklyn Nets,Toronto Raptors,Wed Feb 4 2015,7:30 pm,109,93
Memphis Grizzlies,Utah Jazz,Wed Feb 4 2015,9:00 pm,100,90
Washington Wizards,Charlotte Hornets,Thu Feb 5 2015,7:00 pm,87,94
Los Angeles Clippers,Cleveland Cavaliers,Thu Feb 5 2015,8:00 pm,94,105
Phoenix Suns,Portland Trail Blazers,Thu Feb 5 2015,10:30 pm,87,108
Dallas Mavericks,Sacramento Kings,Thu Feb 5 2015,10:00 pm,101,78
Golden State Warriors,Atlanta Hawks,Fri Feb 6 2015,7:30 pm,116,124
Philadelphia 76ers,Boston Celtics,Fri Feb 6 2015,7:30 pm,96,107
New York Knicks,Brooklyn Nets,Fri Feb 6 2015,7:00 pm,88,92
Denver Nuggets,Detroit Pistons,Fri Feb 6 2015,7:30 pm,88,98
Milwaukee Bucks,Houston Rockets,Fri Feb 6 2015,8:00 pm,111,117
Cleveland Cavaliers,Indiana Pacers,Fri Feb 6 2015,7:00 pm,99,103
Memphis Grizzlies,Minnesota Timberwolves,Fri Feb 6 2015,8:00 pm,89,90
New Orleans Pelicans,Oklahoma City Thunder,Fri Feb 6 2015,8:00 pm,116,113
Los Angeles Lakers,Orlando Magic,Fri Feb 6 2015,7:00 pm,97,103
Utah Jazz,Phoenix Suns,Fri Feb 6 2015,9:00 pm,93,100
Miami Heat,San Antonio Spurs,Fri Feb 6 2015,9:30 pm,85,98
Los Angeles Clippers,Toronto Raptors,Fri Feb 6 2015,7:00 pm,107,123
Portland Trail Blazers,Dallas Mavericks,Sat Feb 7 2015,8:30 pm,101,111
Boston Celtics,Milwaukee Bucks,Sat Feb 7 2015,8:30 pm,93,96
Chicago Bulls,New Orleans Pelicans,Sat Feb 7 2015,7:00 pm,107,72
Golden State Warriors,New York Knicks,Sat Feb 7 2015,7:30 pm,106,92
Charlotte Hornets,Philadelphia 76ers,Sat Feb 7 2015,7:30 pm,81,89
Sacramento Kings,Utah Jazz,Sat Feb 7 2015,9:00 pm,90,102
Brooklyn Nets,Washington Wizards,Sat Feb 7 2015,7:00 pm,77,114
Indiana Pacers,Charlotte Hornets,Sun Feb 8 2015,6:00 pm,103,102
Los Angeles Lakers,Cleveland Cavaliers,Sun Feb 8 2015,3:30 pm,105,120
Minnesota Timberwolves,Detroit Pistons,Sun Feb 8 2015,6:00 pm,112,101
Portland Trail Blazers,Houston Rockets,Sun Feb 8 2015,7:00 pm,109,98
Atlanta Hawks,Memphis Grizzlies,Sun Feb 8 2015,6:00 pm,88,94
Los Angeles Clippers,Oklahoma City Thunder,Sun Feb 8 2015,1:00 pm,108,131
Chicago Bulls,Orlando Magic,Sun Feb 8 2015,6:00 pm,98,97
Phoenix Suns,Sacramento Kings,Sun Feb 8 2015,9:00 pm,83,85
San Antonio Spurs,Toronto Raptors,Sun Feb 8 2015,7:00 pm,82,87
Los Angeles Clippers,Dallas Mavericks,Mon Feb 9 2015,8:30 pm,115,98
Oklahoma City Thunder,Denver Nuggets,Mon Feb 9 2015,9:00 pm,124,114
San Antonio Spurs,Indiana Pacers,Mon Feb 9 2015,7:00 pm,95,93
New York Knicks,Miami Heat,Mon Feb 9 2015,7:30 pm,95,109
Brooklyn Nets,Milwaukee Bucks,Mon Feb 9 2015,8:00 pm,97,103
Atlanta Hawks,Minnesota Timberwolves,Mon Feb 9 2015,8:00 pm,117,105
Utah Jazz,New Orleans Pelicans,Mon Feb 9 2015,8:00 pm,100,96
Golden State Warriors,Philadelphia 76ers,Mon Feb 9 2015,7:00 pm,89,84
Orlando Magic,Washington Wizards,Mon Feb 9 2015,7:00 pm,80,96
Sacramento Kings,Chicago Bulls,Tue Feb 10 2015,8:00 pm,86,104
Detroit Pistons,Charlotte Hornets,Tue Feb 10 2015,7:00 pm,106,78
Denver Nuggets,Los Angeles Lakers,Tue Feb 10 2015,10:30 pm,106,96
Brooklyn Nets,Memphis Grizzlies,Tue Feb 10 2015,8:00 pm,86,95
Houston Rockets,Phoenix Suns,Tue Feb 10 2015,8:00 pm,127,118
Atlanta Hawks,Boston Celtics,Wed Feb 11 2015,7:30 pm,88,89
Miami Heat,Cleveland Cavaliers,Wed Feb 11 2015,8:00 pm,93,113
Utah Jazz,Dallas Mavericks,Wed Feb 11 2015,8:30 pm,82,87
San Antonio Spurs,Detroit Pistons,Wed Feb 11 2015,7:30 pm,104,87
Houston Rockets,Los Angeles Clippers,Wed Feb 11 2015,10:30 pm,95,110
Sacramento Kings,Milwaukee Bucks,Wed Feb 11 2015,8:00 pm,103,111
Golden State Warriors,Minnesota Timberwolves,Wed Feb 11 2015,8:00 pm,94,91
Indiana Pacers,New Orleans Pelicans,Wed Feb 11 2015,8:00 pm,106,93
Memphis Grizzlies,Oklahoma City Thunder,Wed Feb 11 2015,8:00 pm,89,105
New York Knicks,Orlando Magic,Wed Feb 11 2015,7:00 pm,83,89
Los Angeles Lakers,Portland Trail Blazers,Wed Feb 11 2015,10:00 pm,86,102
Washington Wizards,Toronto Raptors,Wed Feb 11 2015,7:30 pm,93,95
Cleveland Cavaliers,Chicago Bulls,Thu Feb 12 2015,8:00 pm,98,113
San Antonio Spurs,Los Angeles Clippers,Thu Feb 19 2015,10:30 pm,115,119
Dallas Mavericks,Oklahoma City Thunder,Thu Feb 19 2015,8:00 pm,89,104
Toronto Raptors,Atlanta Hawks,Fri Feb 20 2015,7:30 pm,105,80
Houston Rockets,Dallas Mavericks,Fri Feb 20 2015,8:30 pm,100,111
Chicago Bulls,Detroit Pistons,Fri Feb 20 2015,7:30 pm,91,100
San Antonio Spurs,Golden State Warriors,Fri Feb 20 2015,10:30 pm,99,110
Brooklyn Nets,Los Angeles Lakers,Fri Feb 20 2015,10:30 pm,114,105
Denver Nuggets,Milwaukee Bucks,Fri Feb 20 2015,8:30 pm,81,89
Phoenix Suns,Minnesota Timberwolves,Fri Feb 20 2015,8:00 pm,109,111
Miami Heat,New York Knicks,Fri Feb 20 2015,7:30 pm,111,87
New Orleans Pelicans,Orlando Magic,Fri Feb 20 2015,7:00 pm,84,95
Indiana Pacers,Philadelphia 76ers,Fri Feb 20 2015,7:00 pm,106,95
Boston Celtics,Sacramento Kings,Fri Feb 20 2015,10:00 pm,101,109
Portland Trail Blazers,Utah Jazz,Fri Feb 20 2015,9:00 pm,76,92
Cleveland Cavaliers,Washington Wizards,Fri Feb 20 2015,8:00 pm,127,89
Phoenix Suns,Chicago Bulls,Sat Feb 21 2015,8:00 pm,107,112
Oklahoma City Thunder,Charlotte Hornets,Sat Feb 21 2015,7:00 pm,110,103
Toronto Raptors,Houston Rockets,Sat Feb 21 2015,8:00 pm,76,98
Sacramento Kings,Los Angeles Clippers,Sat Feb 21 2015,10:00 pm,99,126
New Orleans Pelicans,Miami Heat,Sat Feb 21 2015,7:30 pm,105,91
Charlotte Hornets,Dallas Mavericks,Sun Feb 22 2015,7:30 pm,81,92
Washington Wizards,Detroit Pistons,Sun Feb 22 2015,3:30 pm,89,106
Golden State Warriors,Indiana Pacers,Sun Feb 22 2015,6:00 pm,98,104
Boston Celtics,Los Angeles Lakers,Sun Feb 22 2015,9:30 pm,111,118
Atlanta Hawks,Milwaukee Bucks,Sun Feb 22 2015,3:30 pm,97,86
Cleveland Cavaliers,New York Knicks,Sun Feb 22 2015,1:00 pm,101,83
Denver Nuggets,Oklahoma City Thunder,Sun Feb 22 2015,7:00 pm,94,119
Philadelphia 76ers,Orlando Magic,Sun Feb 22 2015,6:00 pm,98,103
Memphis Grizzlies,Portland Trail Blazers,Sun Feb 22 2015,9:00 pm,98,92
Milwaukee Bucks,Chicago Bulls,Mon Feb 23 2015,8:00 pm,71,87
Brooklyn Nets,Denver Nuggets,Mon Feb 23 2015,9:00 pm,110,82
Minnesota Timberwolves,Houston Rockets,Mon Feb 23 2015,8:00 pm,102,113
Memphis Grizzlies,Los Angeles Clippers,Mon Feb 23 2015,10:30 pm,90,87
Philadelphia 76ers,Miami Heat,Mon Feb 23 2015,7:30 pm,108,119
Toronto Raptors,New Orleans Pelicans,Mon Feb 23 2015,8:00 pm,97,100
Boston Celtics,Phoenix Suns,Mon Feb 23 2015,9:00 pm,115,110
San Antonio Spurs,Utah Jazz,Mon Feb 23 2015,9:00 pm,81,90
Toronto Raptors,Dallas Mavericks,Tue Feb 24 2015,8:30 pm,92,99
Cleveland Cavaliers,Detroit Pistons,Tue Feb 24 2015,7:30 pm,102,93
Indiana Pacers,Oklahoma City Thunder,Tue Feb 24 2015,8:00 pm,92,105
Golden State Warriors,Washington Wizards,Tue Feb 24 2015,7:00 pm,114,107
Dallas Mavericks,Atlanta Hawks,Wed Feb 25 2015,7:30 pm,87,104
New York Knicks,Boston Celtics,Wed Feb 25 2015,7:30 pm,94,115
Charlotte Hornets,Chicago Bulls,Wed Feb 25 2015,8:00 pm,98,86
Phoenix Suns,Denver Nuggets,Wed Feb 25 2015,9:00 pm,110,96
Los Angeles Clippers,Houston Rockets,Wed Feb 25 2015,8:00 pm,105,110
Philadelphia 76ers,Milwaukee Bucks,Wed Feb 25 2015,8:00 pm,88,104
Washington Wizards,Minnesota Timberwolves,Wed Feb 25 2015,8:00 pm,77,97
Brooklyn Nets,New Orleans Pelicans,Wed Feb 25 2015,8:00 pm,96,102
Miami Heat,Orlando Magic,Wed Feb 25 2015,7:00 pm,93,90
San Antonio Spurs,Portland Trail Blazers,Wed Feb 25 2015,10:30 pm,95,111
Memphis Grizzlies,Sacramento Kings,Wed Feb 25 2015,10:00 pm,90,102
Los Angeles Lakers,Utah Jazz,Wed Feb 25 2015,9:00 pm,100,97
Golden State Warriors,Cleveland Cavaliers,Thu Feb 26 2015,8:00 pm,99,110
Oklahoma City Thunder,Phoenix Suns,Thu Feb 26 2015,10:30 pm,113,117
Orlando Magic,Atlanta Hawks,Fri Feb 27 2015,7:30 pm,88,95
Charlotte Hornets,Boston Celtics,Fri Feb 27 2015,7:30 pm,98,106
Minnesota Timberwolves,Chicago Bulls,Fri Feb 27 2015,8:00 pm,89,96
Utah Jazz,Denver Nuggets,Fri Feb 27 2015,9:00 pm,104,82
New York Knicks,Detroit Pistons,Fri Feb 27 2015,7:30 pm,121,115
Brooklyn Nets,Houston Rockets,Fri Feb 27 2015,8:00 pm,98,102
Cleveland Cavaliers,Indiana Pacers,Fri Feb 27 2015,7:00 pm,86,93
Milwaukee Bucks,Los Angeles Lakers,Fri Feb 27 2015,10:30 pm,93,101
Los Angeles Clippers,Memphis Grizzlies,Fri Feb 27 2015,8:00 pm,97,79
Miami Heat,New Orleans Pelicans,Fri Feb 27 2015,8:00 pm,102,104
Washington Wizards,Philadelphia 76ers,Fri Feb 27 2015,7:00 pm,81,89
Oklahoma City Thunder,Portland Trail Blazers,Fri Feb 27 2015,10:30 pm,112,115
San Antonio Spurs,Sacramento Kings,Fri Feb 27 2015,10:00 pm,107,96
Golden State Warriors,Toronto Raptors,Fri Feb 27 2015,7:30 pm,113,89
Brooklyn Nets,Dallas Mavericks,Sat Feb 28 2015,8:30 pm,104,94
Atlanta Hawks,Miami Heat,Sat Feb 28 2015,7:30 pm,93,91
Memphis Grizzlies,Minnesota Timberwolves,Sat Feb 28 2015,8:00 pm,101,97
Toronto Raptors,New York Knicks,Sat Feb 28 2015,7:30 pm,98,103
San Antonio Spurs,Phoenix Suns,Sat Feb 28 2015,9:00 pm,101,74
Milwaukee Bucks,Utah Jazz,Sat Feb 28 2015,9:00 pm,75,82
Detroit Pistons,Washington Wizards,Sat Feb 28 2015,7:00 pm,95,99
Golden State Warriors,Boston Celtics,Sun Mar 1 2015,6:00 pm,106,101
Los Angeles Clippers,Chicago Bulls,Sun Mar 1 2015,1:00 pm,96,86
New Orleans Pelicans,Denver Nuggets,Sun Mar 1 2015,8:00 pm,99,92
Cleveland Cavaliers,Houston Rockets,Sun Mar 1 2015,3:30 pm,103,105
Philadelphia 76ers,Indiana Pacers,Sun Mar 1 2015,6:00 pm,74,94
Oklahoma City Thunder,Los Angeles Lakers,Sun Mar 1 2015,6:30 pm,108,101
Charlotte Hornets,Orlando Magic,Sun Mar 1 2015,6:00 pm,98,83
Portland Trail Blazers,Sacramento Kings,Sun Mar 1 2015,6:00 pm,110,99
Golden State Warriors,Brooklyn Nets,Mon Mar 2 2015,7:30 pm,108,110
New Orleans Pelicans,Dallas Mavericks,Mon Mar 2 2015,8:30 pm,93,102
Phoenix Suns,Miami Heat,Mon Mar 2 2015,7:30 pm,98,115
Los Angeles Clippers,Minnesota Timberwolves,Mon Mar 2 2015,8:00 pm,110,105
Toronto Raptors,Philadelphia 76ers,Mon Mar 2 2015,7:00 pm,114,103
Houston Rockets,Atlanta Hawks,Tue Mar 3 2015,7:30 pm,96,104
Washington Wizards,Chicago Bulls,Tue Mar 3 2015,8:00 pm,92,97
Los Angeles Lakers,Charlotte Hornets,Tue Mar 3 2015,7:00 pm,103,104
Boston Celtics,Cleveland Cavaliers,Tue Mar 3 2015,7:00 pm,79,110
Milwaukee Bucks,Denver Nuggets,Tue Mar 3 2015,9:00 pm,95,106
Utah Jazz,Memphis Grizzlies,Tue Mar 3 2015,8:00 pm,93,82
Sacramento Kings,New York Knicks,Tue Mar 3 2015,7:00 pm,124,86
Utah Jazz,Boston Celtics,Wed Mar 4 2015,7:30 pm,84,85
Charlotte Hornets,Brooklyn Nets,Wed Mar 4 2015,7:30 pm,115,91
Milwaukee Bucks,Golden State Warriors,Wed Mar 4 2015,10:30 pm,93,102
Memphis Grizzlies,Houston Rockets,Wed Mar 4 2015,8:00 pm,102,100
New York Knicks,Indiana Pacers,Wed Mar 4 2015,7:00 pm,82,105
Portland Trail Blazers,Los Angeles Clippers,Wed Mar 4 2015,10:30 pm,98,93
Los Angeles Lakers,Miami Heat,Wed Mar 4 2015,8:00 pm,94,100
Denver Nuggets,Minnesota Timberwolves,Wed Mar 4 2015,8:00 pm,100,85
Detroit Pistons,New Orleans Pelicans,Wed Mar 4 2015,8:00 pm,85,88
Philadelphia 76ers,Oklahoma City Thunder,Wed Mar 4 2015,8:00 pm,118,123
Phoenix Suns,Orlando Magic,Wed Mar 4 2015,7:00 pm,105,100
Sacramento Kings,San Antonio Spurs,Wed Mar 4 2015,8:30 pm,85,112
Cleveland Cavaliers,Toronto Raptors,Wed Mar 4 2015,7:30 pm,120,112
Oklahoma City Thunder,Chicago Bulls,Thu Mar 5 2015,8:00 pm,105,108
Dallas Mavericks,Portland Trail Blazers,Thu Mar 5 2015,10:30 pm,75,94
Cleveland Cavaliers,Atlanta Hawks,Fri Mar 6 2015,7:30 pm,97,106
Phoenix Suns,Brooklyn Nets,Fri Mar 6 2015,8:00 pm,108,100
Toronto Raptors,Charlotte Hornets,Fri Mar 6 2015,7:00 pm,94,103
Dallas Mavericks,Golden State Warriors,Fri Mar 6 2015,10:30 pm,89,104
Detroit Pistons,Houston Rockets,Fri Mar 6 2015,8:00 pm,93,103
Chicago Bulls,Indiana Pacers,Fri Mar 6 2015,7:00 pm,84,98
Los Angeles Lakers,Memphis Grizzlies,Fri Mar 6 2015,8:00 pm,90,97
Boston Celtics,New Orleans Pelicans,Fri Mar 6 2015,8:00 pm,104,98
Sacramento Kings,Orlando Magic,Fri Mar 6 2015,7:00 pm,114,119
Utah Jazz,Philadelphia 76ers,Fri Mar 6 2015,7:00 pm,89,83
Denver Nuggets,San Antonio Spurs,Fri Mar 6 2015,8:30 pm,111,120
Miami Heat,Washington Wizards,Fri Mar 6 2015,7:00 pm,97,99
Phoenix Suns,Cleveland Cavaliers,Sat Mar 7 2015,7:30 pm,79,89
Houston Rockets,Denver Nuggets,Sat Mar 7 2015,9:00 pm,114,100
Sacramento Kings,Miami Heat,Sat Mar 7 2015,7:30 pm,109,114
Washington Wizards,Milwaukee Bucks,Sat Mar 7 2015,8:30 pm,85,91
Portland Trail Blazers,Minnesota Timberwolves,Sat Mar 7 2015,8:00 pm,113,121
Memphis Grizzlies,New Orleans Pelicans,Sat Mar 7 2015,7:00 pm,89,95
Indiana Pacers,New York Knicks,Sat Mar 7 2015,7:30 pm,92,86
Atlanta Hawks,Philadelphia 76ers,Sat Mar 7 2015,7:30 pm,84,92
Utah Jazz,Brooklyn Nets,Sun Mar 8 2015,6:00 pm,95,88
Charlotte Hornets,Detroit Pistons,Sun Mar 8 2015,6:00 pm,108,101
Los Angeles Clippers,Golden State Warriors,Sun Mar 8 2015,3:30 pm,98,106
Dallas Mavericks,Los Angeles Lakers,Sun Mar 8 2015,9:30 pm,100,93
Toronto Raptors,Oklahoma City Thunder,Sun Mar 8 2015,7:00 pm,104,108
Boston Celtics,Orlando Magic,Sun Mar 8 2015,6:00 pm,98,103
Chicago Bulls,San Antonio Spurs,Sun Mar 8 2015,1:00 pm,105,116
Sacramento Kings,Atlanta Hawks,Mon Mar 9 2015,7:30 pm,105,130
Memphis Grizzlies,Chicago Bulls,Mon Mar 9 2015,8:00 pm,101,91
Washington Wizards,Charlotte Hornets,Mon Mar 9 2015,7:00 pm,95,69
New York Knicks,Denver Nuggets,Mon Mar 9 2015,9:00 pm,78,106
Minnesota Timberwolves,Los Angeles Clippers,Mon Mar 9 2015,10:30 pm,76,89
Boston Celtics,Miami Heat,Mon Mar 9 2015,7:30 pm,100,90
New Orleans Pelicans,Milwaukee Bucks,Mon Mar 9 2015,8:00 pm,114,103
Golden State Warriors,Phoenix Suns,Mon Mar 9 2015,10:00 pm,98,80
New Orleans Pelicans,Brooklyn Nets,Tue Mar 10 2015,7:30 pm,111,91
Cleveland Cavaliers,Dallas Mavericks,Tue Mar 10 2015,8:30 pm,127,94
Orlando Magic,Indiana Pacers,Tue Mar 10 2015,7:00 pm,86,118
Detroit Pistons,Los Angeles Lakers,Tue Mar 10 2015,10:30 pm,85,93
Toronto Raptors,San Antonio Spurs,Tue Mar 10 2015,8:30 pm,107,117
New York Knicks,Utah Jazz,Tue Mar 10 2015,9:00 pm,82,87
Memphis Grizzlies,Boston Celtics,Wed Mar 11 2015,7:30 pm,92,95
Sacramento Kings,Charlotte Hornets,Wed Mar 11 2015,7:00 pm,113,106
Atlanta Hawks,Denver Nuggets,Wed Mar 11 2015,9:00 pm,102,115
Detroit Pistons,Golden State Warriors,Wed Mar 11 2015,10:30 pm,98,105
Brooklyn Nets,Miami Heat,Wed Mar 11 2015,7:30 pm,98,104
Orlando Magic,Milwaukee Bucks,Wed Mar 11 2015,8:00 pm,91,97
Los Angeles Clippers,Oklahoma City Thunder,Wed Mar 11 2015,8:00 pm,120,108
Chicago Bulls,Philadelphia 76ers,Wed Mar 11 2015,7:00 pm,104,95
Minnesota Timberwolves,Phoenix Suns,Wed Mar 11 2015,10:00 pm,97,106
Houston Rockets,Portland Trail Blazers,Wed Mar 11 2015,10:30 pm,100,105
Milwaukee Bucks,Indiana Pacers,Thu Mar 12 2015,7:00 pm,103,109
New York Knicks,Los Angeles Lakers,Thu Mar 12 2015,10:30 pm,101,94
Cleveland Cavaliers,San Antonio Spurs,Thu Mar 12 2015,9:30 pm,128,125
Houston Rockets,Utah Jazz,Thu Mar 12 2015,9:00 pm,91,109
Memphis Grizzlies,Washington Wizards,Thu Mar 12 2015,7:00 pm,87,107
Orlando Magic,Boston Celtics,Fri Mar 13 2015,7:30 pm,88,95
Chicago Bulls,Charlotte Hornets,Fri Mar 13 2015,7:00 pm,91,101
Los Angeles Clippers,Dallas Mavericks,Fri Mar 13 2015,8:30 pm,99,129
Golden State Warriors,Denver Nuggets,Fri Mar 13 2015,9:00 pm,103,114
Minnesota Timberwolves,Oklahoma City Thunder,Fri Mar 13 2015,8:00 pm,99,113
Sacramento Kings,Philadelphia 76ers,Fri Mar 13 2015,7:00 pm,107,114
Atlanta Hawks,Phoenix Suns,Fri Mar 13 2015,10:00 pm,96,87
Detroit Pistons,Portland Trail Blazers,Fri Mar 13 2015,10:00 pm,99,118
Miami Heat,Toronto Raptors,Fri Mar 13 2015,7:30 pm,92,102
New York Knicks,Golden State Warriors,Sat Mar 14 2015,10:30 pm,94,125
Boston Celtics,Indiana Pacers,Sat Mar 14 2015,7:00 pm,93,89
Milwaukee Bucks,Memphis Grizzlies,Sat Mar 14 2015,8:00 pm,83,96
Brooklyn Nets,Philadelphia 76ers,Sat Mar 14 2015,7:30 pm,94,87
Detroit Pistons,Utah Jazz,Sat Mar 14 2015,9:00 pm,85,88
Sacramento Kings,Washington Wizards,Sat Mar 14 2015,7:00 pm,97,113
Houston Rockets,Los Angeles Clippers,Sun Mar 15 2015,3:30 pm,100,98
Atlanta Hawks,Los Angeles Lakers,Sun Mar 15 2015,9:30 pm,91,86
Denver Nuggets,New Orleans Pelicans,Sun Mar 15 2015,6:00 pm,118,111
Chicago Bulls,Oklahoma City Thunder,Sun Mar 15 2015,1:00 pm,100,109
Cleveland Cavaliers,Orlando Magic,Sun Mar 15 2015,6:00 pm,123,108
New York Knicks,Phoenix Suns,Sun Mar 15 2015,9:00 pm,89,102
