Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS(Visitors),PTS(Home)
Indiana Pacers,Charlotte Hornets,Fri Mar 4 2016,7:00 pm,101,108
Washington Wizards,Cleveland Cavaliers,Fri Mar 4 2016,8:00 pm,83,108
Brooklyn Nets,Denver Nuggets,Fri Mar 4 2016,9:00 pm,121,120
Atlanta Hawks,Los Angeles Lakers,Fri Mar 4 2016,10:30 pm,106,77
Utah Jazz,Memphis Grizzlies,Fri Mar 4 2016,8:00 pm,88,94
Minnesota Timberwolves,Milwaukee Bucks,Fri Mar 4 2016,8:00 pm,101,116
Phoenix Suns,Orlando Magic,Fri Mar 4 2016,7:00 pm,102,84
Miami Heat,Philadelphia 76ers,Fri Mar 4 2016,7:00 pm,112,102
Portland Trail Blazers,Toronto Raptors,Fri Mar 4 2016,7:30 pm,115,117
Houston Rockets,Chicago Bulls,Sat Mar 5 2016,8:30 pm,100,108
Boston Celtics,Cleveland Cavaliers,Sat Mar 5 2016,7:00 pm,103,120
Atlanta Hawks,Los Angeles Clippers,Sat Mar 5 2016,10:30 pm,107,97
Brooklyn Nets,Minnesota Timberwolves,Sat Mar 5 2016,8:00 pm,118,132
Utah Jazz,New Orleans Pelicans,Sat Mar 5 2016,7:00 pm,106,94
Detroit Pistons,New York Knicks,Sat Mar 5 2016,7:00 pm,89,102
Sacramento Kings,San Antonio Spurs,Sat Mar 5 2016,8:30 pm,94,104
Indiana Pacers,Washington Wizards,Sat Mar 5 2016,7:00 pm,100,99
Dallas Mavericks,Denver Nuggets,Sun Mar 6 2016,5:00 pm,114,116
Portland Trail Blazers,Detroit Pistons,Sun Mar 6 2016,6:00 pm,103,123
Golden State Warriors,Los Angeles Lakers,Sun Mar 6 2016,3:30 pm,95,112
Phoenix Suns,Memphis Grizzlies,Sun Mar 6 2016,4:00 pm,109,100
Philadelphia 76ers,Miami Heat,Sun Mar 6 2016,6:00 pm,98,103
Oklahoma City Thunder,Milwaukee Bucks,Sun Mar 6 2016,3:30 pm,104,96
Houston Rockets,Toronto Raptors,Sun Mar 6 2016,6:30 pm,113,107
Milwaukee Bucks,Chicago Bulls,Mon Mar 7 2016,8:00 pm,90,100
Minnesota Timberwolves,Charlotte Hornets,Mon Mar 7 2016,7:00 pm,103,108
Memphis Grizzlies,Cleveland Cavaliers,Mon Mar 7 2016,7:00 pm,106,103
Los Angeles Clippers,Dallas Mavericks,Mon Mar 7 2016,8:30 pm,109,90
Orlando Magic,Golden State Warriors,Mon Mar 7 2016,10:30 pm,113,119
San Antonio Spurs,Indiana Pacers,Mon Mar 7 2016,7:00 pm,91,99
Sacramento Kings,New Orleans Pelicans,Mon Mar 7 2016,8:00 pm,112,115
New York Knicks,Denver Nuggets,Tue Mar 8 2016,9:00 pm,94,110
Orlando Magic,Los Angeles Lakers,Tue Mar 8 2016,10:30 pm,98,107
San Antonio Spurs,Minnesota Timberwolves,Tue Mar 8 2016,8:00 pm,116,91
Washington Wizards,Portland Trail Blazers,Tue Mar 8 2016,10:00 pm,109,116
Brooklyn Nets,Toronto Raptors,Tue Mar 8 2016,7:30 pm,99,104
Atlanta Hawks,Utah Jazz,Tue Mar 8 2016,9:00 pm,91,84
Memphis Grizzlies,Boston Celtics,Wed Mar 9 2016,7:00 pm,96,116
New Orleans Pelicans,Charlotte Hornets,Wed Mar 9 2016,7:00 pm,113,122
Detroit Pistons,Dallas Mavericks,Wed Mar 9 2016,8:30 pm,102,96
Utah Jazz,Golden State Warriors,Wed Mar 9 2016,10:30 pm,94,115
Miami Heat,Milwaukee Bucks,Wed Mar 9 2016,8:00 pm,108,114
Los Angeles Clippers,Oklahoma City Thunder,Wed Mar 9 2016,9:30 pm,108,120
Houston Rockets,Philadelphia 76ers,Wed Mar 9 2016,7:00 pm,118,104
New York Knicks,Phoenix Suns,Wed Mar 9 2016,9:00 pm,128,97
Cleveland Cavaliers,Sacramento Kings,Wed Mar 9 2016,10:00 pm,120,111
Phoenix Suns,Denver Nuggets,Thu Mar 10 2016,9:00 pm,98,116
Cleveland Cavaliers,Los Angeles Lakers,Thu Mar 10 2016,10:30 pm,120,108
Chicago Bulls,San Antonio Spurs,Thu Mar 10 2016,8:00 pm,101,109
Atlanta Hawks,Toronto Raptors,Thu Mar 10 2016,7:30 pm,96,104
Houston Rockets,Boston Celtics,Fri Mar 11 2016,7:30 pm,102,98
Miami Heat,Chicago Bulls,Fri Mar 11 2016,8:00 pm,118,96
Detroit Pistons,Charlotte Hornets,Fri Mar 11 2016,7:00 pm,103,118
Portland Trail Blazers,Golden State Warriors,Fri Mar 11 2016,10:30 pm,112,128
New York Knicks,Los Angeles Clippers,Fri Mar 11 2016,10:30 pm,94,101
New Orleans Pelicans,Memphis Grizzlies,Fri Mar 11 2016,8:00 pm,114,121
Minnesota Timberwolves,Oklahoma City Thunder,Fri Mar 11 2016,8:00 pm,99,96
Brooklyn Nets,Philadelphia 76ers,Fri Mar 11 2016,7:00 pm,89,95
Orlando Magic,Sacramento Kings,Fri Mar 11 2016,10:00 pm,107,100
Washington Wizards,Utah Jazz,Fri Mar 11 2016,9:00 pm,93,114
Memphis Grizzlies,Atlanta Hawks,Sat Mar 12 2016,7:30 pm,83,95
Houston Rockets,Charlotte Hornets,Sat Mar 12 2016,7:00 pm,109,125
Indiana Pacers,Dallas Mavericks,Sat Mar 12 2016,2:00 pm,112,105
Washington Wizards,Denver Nuggets,Sat Mar 12 2016,9:30 pm,100,116
Phoenix Suns,Golden State Warriors,Sat Mar 12 2016,10:30 pm,116,123
New Orleans Pelicans,Milwaukee Bucks,Sat Mar 12 2016,7:30 pm,92,103
Detroit Pistons,Philadelphia 76ers,Sat Mar 12 2016,7:00 pm,125,111
Orlando Magic,Portland Trail Blazers,Sat Mar 12 2016,10:30 pm,84,121
Oklahoma City Thunder,San Antonio Spurs,Sat Mar 12 2016,8:30 pm,85,93
Miami Heat,Toronto Raptors,Sat Mar 12 2016,7:00 pm,104,112
Indiana Pacers,Atlanta Hawks,Sun Mar 13 2016,6:00 pm,75,104
Milwaukee Bucks,Brooklyn Nets,Sun Mar 13 2016,8:00 pm,109,100
Cleveland Cavaliers,Los Angeles Clippers,Sun Mar 13 2016,3:30 pm,114,90
New York Knicks,Los Angeles Lakers,Sun Mar 13 2016,9:30 pm,90,87
Utah Jazz,Sacramento Kings,Sun Mar 13 2016,6:00 pm,108,99
Dallas Mavericks,Charlotte Hornets,Mon Mar 14 2016,7:00 pm,107,96
New Orleans Pelicans,Golden State Warriors,Mon Mar 14 2016,10:30 pm,107,125
Memphis Grizzlies,Houston Rockets,Mon Mar 14 2016,8:00 pm,81,130
Denver Nuggets,Miami Heat,Mon Mar 14 2016,7:30 pm,119,124
Portland Trail Blazers,Oklahoma City Thunder,Mon Mar 14 2016,8:00 pm,94,128
Minnesota Timberwolves,Phoenix Suns,Mon Mar 14 2016,10:00 pm,104,107
Chicago Bulls,Toronto Raptors,Mon Mar 14 2016,7:30 pm,109,107
Cleveland Cavaliers,Utah Jazz,Mon Mar 14 2016,10:30 pm,85,94
Detroit Pistons,Washington Wizards,Mon Mar 14 2016,8:00 pm,81,124
Philadelphia 76ers,Brooklyn Nets,Tue Mar 15 2016,7:30 pm,114,131
Boston Celtics,Indiana Pacers,Tue Mar 15 2016,7:00 pm,98,103
Sacramento Kings,Los Angeles Lakers,Tue Mar 15 2016,10:30 pm,106,98
Toronto Raptors,Milwaukee Bucks,Tue Mar 15 2016,8:00 pm,107,89
Denver Nuggets,Orlando Magic,Tue Mar 15 2016,7:00 pm,110,116
Los Angeles Clippers,San Antonio Spurs,Tue Mar 15 2016,8:30 pm,87,108
Oklahoma City Thunder,Boston Celtics,Wed Mar 16 2016,7:00 pm,130,109
Orlando Magic,Charlotte Hornets,Wed Mar 16 2016,7:00 pm,99,107
Dallas Mavericks,Cleveland Cavaliers,Wed Mar 16 2016,7:00 pm,98,99
Atlanta Hawks,Detroit Pistons,Wed Mar 16 2016,7:30 pm,118,114
New York Knicks,Golden State Warriors,Wed Mar 16 2016,10:30 pm,85,121
Los Angeles Clippers,Houston Rockets,Wed Mar 16 2016,9:30 pm,122,106
Minnesota Timberwolves,Memphis Grizzlies,Wed Mar 16 2016,8:00 pm,114,108
New Orleans Pelicans,Sacramento Kings,Wed Mar 16 2016,10:00 pm,123,108
Chicago Bulls,Washington Wizards,Wed Mar 16 2016,7:00 pm,96,117
Denver Nuggets,Atlanta Hawks,Thu Mar 17 2016,8:00 pm,98,116
Brooklyn Nets,Chicago Bulls,Thu Mar 17 2016,8:00 pm,102,118
Toronto Raptors,Indiana Pacers,Thu Mar 17 2016,7:00 pm,101,94
Charlotte Hornets,Miami Heat,Thu Mar 17 2016,7:30 pm,109,106
Memphis Grizzlies,Milwaukee Bucks,Thu Mar 17 2016,8:00 pm,86,96
Washington Wizards,Philadelphia 76ers,Thu Mar 17 2016,7:00 pm,99,94
Portland Trail Blazers,San Antonio Spurs,Thu Mar 17 2016,8:30 pm,110,118
Phoenix Suns,Utah Jazz,Thu Mar 17 2016,9:00 pm,69,103
Golden State Warriors,Dallas Mavericks,Fri Mar 18 2016,8:30 pm,130,112
Sacramento Kings,Detroit Pistons,Fri Mar 18 2016,7:30 pm,108,115
Minnesota Timberwolves,Houston Rockets,Fri Mar 18 2016,8:00 pm,111,116
Phoenix Suns,Los Angeles Lakers,Fri Mar 18 2016,10:30 pm,95,90
Portland Trail Blazers,New Orleans Pelicans,Fri Mar 18 2016,8:00 pm,117,112
Cleveland Cavaliers,Orlando Magic,Fri Mar 18 2016,7:00 pm,109,103
Oklahoma City Thunder,Philadelphia 76ers,Fri Mar 18 2016,7:00 pm,111,97
Boston Celtics,Toronto Raptors,Fri Mar 18 2016,7:30 pm,91,105
Houston Rockets,Atlanta Hawks,Sat Mar 19 2016,7:30 pm,97,109
Utah Jazz,Chicago Bulls,Sat Mar 19 2016,8:00 pm,85,92
Denver Nuggets,Charlotte Hornets,Sat Mar 19 2016,6:00 pm,101,93
Brooklyn Nets,Detroit Pistons,Sat Mar 19 2016,7:00 pm,103,115
Oklahoma City Thunder,Indiana Pacers,Sat Mar 19 2016,7:00 pm,115,111
Los Angeles Clippers,Memphis Grizzlies,Sat Mar 19 2016,8:00 pm,102,113
Cleveland Cavaliers,Miami Heat,Sat Mar 19 2016,7:30 pm,101,122
Golden State Warriors,San Antonio Spurs,Sat Mar 19 2016,8:30 pm,79,87
New York Knicks,Washington Wizards,Sat Mar 19 2016,7:00 pm,89,99
Portland Trail Blazers,Dallas Mavericks,Sun Mar 20 2016,4:00 pm,120,132
Utah Jazz,Milwaukee Bucks,Sun Mar 20 2016,7:00 pm,94,85
Los Angeles Clippers,New Orleans Pelicans,Sun Mar 20 2016,6:00 pm,105,109
Sacramento Kings,New York Knicks,Sun Mar 20 2016,7:30 pm,88,80
Boston Celtics,Philadelphia 76ers,Sun Mar 20 2016,6:00 pm,120,105
Orlando Magic,Toronto Raptors,Sun Mar 20 2016,4:30 pm,100,105
Washington Wizards,Atlanta Hawks,Mon Mar 21 2016,8:00 pm,117,102
Orlando Magic,Boston Celtics,Mon Mar 21 2016,7:30 pm,96,107
Sacramento Kings,Chicago Bulls,Mon Mar 21 2016,8:00 pm,102,109
San Antonio Spurs,Charlotte Hornets,Mon Mar 21 2016,7:00 pm,88,91
Denver Nuggets,Cleveland Cavaliers,Mon Mar 21 2016,7:00 pm,91,124
Milwaukee Bucks,Detroit Pistons,Mon Mar 21 2016,7:30 pm,91,92
Philadelphia 76ers,Indiana Pacers,Mon Mar 21 2016,7:00 pm,75,91
Golden State Warriors,Minnesota Timberwolves,Mon Mar 21 2016,8:00 pm,109,104
Memphis Grizzlies,Phoenix Suns,Mon Mar 21 2016,10:00 pm,103,97
Charlotte Hornets,Brooklyn Nets,Tue Mar 22 2016,7:30 pm,105,100
Memphis Grizzlies,Los Angeles Lakers,Tue Mar 22 2016,10:30 pm,100,107
Miami Heat,New Orleans Pelicans,Tue Mar 22 2016,8:00 pm,113,99
Houston Rockets,Oklahoma City Thunder,Tue Mar 22 2016,8:00 pm,107,111
Toronto Raptors,Boston Celtics,Wed Mar 23 2016,7:30 pm,79,91
New York Knicks,Chicago Bulls,Wed Mar 23 2016,8:00 pm,115,107
Milwaukee Bucks,Cleveland Cavaliers,Wed Mar 23 2016,7:00 pm,104,113
Philadelphia 76ers,Denver Nuggets,Wed Mar 23 2016,9:00 pm,103,104
Orlando Magic,Detroit Pistons,Wed Mar 23 2016,7:30 pm,102,118
Los Angeles Clippers,Golden State Warriors,Wed Mar 23 2016,10:30 pm,98,114
Utah Jazz,Houston Rockets,Wed Mar 23 2016,8:00 pm,89,87
Sacramento Kings,Minnesota Timberwolves,Wed Mar 23 2016,8:00 pm,104,113
Los Angeles Lakers,Phoenix Suns,Wed Mar 23 2016,10:00 pm,107,119
Dallas Mavericks,Portland Trail Blazers,Wed Mar 23 2016,10:00 pm,103,109
Miami Heat,San Antonio Spurs,Wed Mar 23 2016,8:30 pm,88,112
Atlanta Hawks,Washington Wizards,Wed Mar 23 2016,7:00 pm,122,101
Cleveland Cavaliers,Brooklyn Nets,Thu Mar 24 2016,7:30 pm,95,104
New Orleans Pelicans,Indiana Pacers,Thu Mar 24 2016,7:00 pm,84,92
Portland Trail Blazers,Los Angeles Clippers,Thu Mar 24 2016,10:30 pm,94,96
Chicago Bulls,New York Knicks,Thu Mar 24 2016,7:30 pm,94,106
Utah Jazz,Oklahoma City Thunder,Thu Mar 24 2016,8:00 pm,91,113
Milwaukee Bucks,Atlanta Hawks,Fri Mar 25 2016,8:00 pm,90,101
Charlotte Hornets,Detroit Pistons,Fri Mar 25 2016,7:30 pm,105,112
Dallas Mavericks,Golden State Warriors,Fri Mar 25 2016,10:30 pm,120,128
Toronto Raptors,Houston Rockets,Fri Mar 25 2016,8:00 pm,109,112
Denver Nuggets,Los Angeles Lakers,Fri Mar 25 2016,10:30 pm,116,105
Orlando Magic,Miami Heat,Fri Mar 25 2016,8:00 pm,97,108
Phoenix Suns,Sacramento Kings,Fri Mar 25 2016,10:00 pm,94,116
Memphis Grizzlies,San Antonio Spurs,Fri Mar 25 2016,8:30 pm,104,110
Minnesota Timberwolves,Washington Wizards,Fri Mar 25 2016,7:00 pm,132,129
Indiana Pacers,Brooklyn Nets,Sat Mar 26 2016,6:00 pm,110,120
Atlanta Hawks,Detroit Pistons,Sat Mar 26 2016,7:30 pm,112,95
Charlotte Hornets,Milwaukee Bucks,Sat Mar 26 2016,8:30 pm,115,91
Utah Jazz,Minnesota Timberwolves,Sat Mar 26 2016,8:00 pm,93,84
Toronto Raptors,New Orleans Pelicans,Sat Mar 26 2016,7:00 pm,115,91
Cleveland Cavaliers,New York Knicks,Sat Mar 26 2016,7:30 pm,107,93
San Antonio Spurs,Oklahoma City Thunder,Sat Mar 26 2016,8:00 pm,92,111
Chicago Bulls,Orlando Magic,Sat Mar 26 2016,7:00 pm,89,111
Boston Celtics,Phoenix Suns,Sat Mar 26 2016,10:00 pm,102,99
Philadelphia 76ers,Portland Trail Blazers,Sat Mar 26 2016,10:00 pm,105,108
Philadelphia 76ers,Golden State Warriors,Sun Mar 27 2016,8:00 pm,105,117
Houston Rockets,Indiana Pacers,Sun Mar 27 2016,6:00 pm,101,104
Denver Nuggets,Los Angeles Clippers,Sun Mar 27 2016,3:30 pm,90,105
Washington Wizards,Los Angeles Lakers,Sun Mar 27 2016,9:30 pm,101,88
Dallas Mavericks,Sacramento Kings,Sun Mar 27 2016,6:00 pm,111,133
Atlanta Hawks,Chicago Bulls,Mon Mar 28 2016,8:00 pm,102,100
Dallas Mavericks,Denver Nuggets,Mon Mar 28 2016,9:00 pm,97,88
Boston Celtics,Los Angeles Clippers,Mon Mar 28 2016,10:30 pm,90,114
San Antonio Spurs,Memphis Grizzlies,Mon Mar 28 2016,8:00 pm,101,87
Brooklyn Nets,Miami Heat,Mon Mar 28 2016,7:30 pm,99,110
Phoenix Suns,Minnesota Timberwolves,Mon Mar 28 2016,8:00 pm,116,121
New York Knicks,New Orleans Pelicans,Mon Mar 28 2016,8:00 pm,91,99
Sacramento Kings,Portland Trail Blazers,Mon Mar 28 2016,10:00 pm,93,105
Oklahoma City Thunder,Toronto Raptors,Mon Mar 28 2016,7:30 pm,119,100
Los Angeles Lakers,Utah Jazz,Mon Mar 28 2016,9:00 pm,75,123
Houston Rockets,Cleveland Cavaliers,Tue Mar 29 2016,8:00 pm,106,100
Oklahoma City Thunder,Detroit Pistons,Tue Mar 29 2016,7:30 pm,82,88
Washington Wizards,Golden State Warriors,Tue Mar 29 2016,10:30 pm,94,102
Chicago Bulls,Indiana Pacers,Tue Mar 29 2016,7:00 pm,98,96
Brooklyn Nets,Orlando Magic,Tue Mar 29 2016,7:00 pm,105,139
Charlotte Hornets,Philadelphia 76ers,Tue Mar 29 2016,7:00 pm,100,85
New York Knicks,Dallas Mavericks,Wed Mar 30 2016,8:30 pm,89,91
Miami Heat,Los Angeles Lakers,Wed Mar 30 2016,10:30 pm,100,102
Denver Nuggets,Memphis Grizzlies,Wed Mar 30 2016,8:00 pm,109,105
Phoenix Suns,Milwaukee Bucks,Wed Mar 30 2016,8:00 pm,94,105
Los Angeles Clippers,Minnesota Timberwolves,Wed Mar 30 2016,8:00 pm,99,79
Washington Wizards,Sacramento Kings,Wed Mar 30 2016,10:00 pm,111,120
New Orleans Pelicans,San Antonio Spurs,Wed Mar 30 2016,8:30 pm,92,100
Atlanta Hawks,Toronto Raptors,Wed Mar 30 2016,7:30 pm,97,105
Golden State Warriors,Utah Jazz,Wed Mar 30 2016,9:00 pm,103,96
Brooklyn Nets,Cleveland Cavaliers,Thu Mar 31 2016,7:00 pm,87,107
Chicago Bulls,Houston Rockets,Thu Mar 31 2016,7:00 pm,103,100
Orlando Magic,Indiana Pacers,Thu Mar 31 2016,7:00 pm,114,94
Denver Nuggets,New Orleans Pelicans,Thu Mar 31 2016,8:00 pm,95,101
Los Angeles Clippers,Oklahoma City Thunder,Thu Mar 31 2016,9:30 pm,117,119
Boston Celtics,Portland Trail Blazers,Thu Mar 31 2016,10:00 pm,109,116
Cleveland Cavaliers,Atlanta Hawks,Fri Apr 1 2016,8:00 pm,110,108
Philadelphia 76ers,Charlotte Hornets,Fri Apr 1 2016,7:00 pm,91,100
Dallas Mavericks,Detroit Pistons,Fri Apr 1 2016,7:30 pm,98,89
Boston Celtics,Golden State Warriors,Fri Apr 1 2016,10:30 pm,109,106
Toronto Raptors,Memphis Grizzlies,Fri Apr 1 2016,8:00 pm,99,95
Orlando Magic,Milwaukee Bucks,Fri Apr 1 2016,8:00 pm,110,113
Brooklyn Nets,New York Knicks,Fri Apr 1 2016,7:30 pm,91,105
Washington Wizards,Phoenix Suns,Fri Apr 1 2016,10:30 pm,106,99
Miami Heat,Sacramento Kings,Fri Apr 1 2016,10:00 pm,112,106
Minnesota Timberwolves,Utah Jazz,Fri Apr 1 2016,9:00 pm,85,98
Detroit Pistons,Chicago Bulls,Sat Apr 2 2016,8:00 pm,94,90
Sacramento Kings,Denver Nuggets,Sat Apr 2 2016,9:00 pm,115,106
Indiana Pacers,Philadelphia 76ers,Sat Apr 2 2016,7:30 pm,115,102
Miami Heat,Portland Trail Blazers,Sat Apr 2 2016,10:00 pm,93,110
Toronto Raptors,San Antonio Spurs,Sat Apr 2 2016,8:30 pm,95,102
New Orleans Pelicans,Brooklyn Nets,Sun Apr 3 2016,1:00 pm,106,87
Charlotte Hornets,Cleveland Cavaliers,Sun Apr 3 2016,3:30 pm,103,112
Portland Trail Blazers,Golden State Warriors,Sun Apr 3 2016,8:00 pm,111,136
Oklahoma City Thunder,Houston Rockets,Sun Apr 3 2016,3:30 pm,110,118
Washington Wizards,Los Angeles Clippers,Sun Apr 3 2016,3:30 pm,109,114
Boston Celtics,Los Angeles Lakers,Sun Apr 3 2016,9:30 pm,107,100
Chicago Bulls,Milwaukee Bucks,Sun Apr 3 2016,7:00 pm,102,98
Dallas Mavericks,Minnesota Timberwolves,Sun Apr 3 2016,3:30 pm,88,78
Indiana Pacers,New York Knicks,Sun Apr 3 2016,7:30 pm,92,87
Memphis Grizzlies,Orlando Magic,Sun Apr 3 2016,6:00 pm,107,119
Utah Jazz,Phoenix Suns,Sun Apr 3 2016,6:00 pm,101,86
Phoenix Suns,Atlanta Hawks,Tue Apr 5 2016,8:00 pm,90,103
Oklahoma City Thunder,Denver Nuggets,Tue Apr 5 2016,9:00 pm,124,102
Minnesota Timberwolves,Golden State Warriors,Tue Apr 5 2016,10:30 pm,124,117
Los Angeles Lakers,Los Angeles Clippers,Tue Apr 5 2016,10:30 pm,81,103
Chicago Bulls,Memphis Grizzlies,Tue Apr 5 2016,8:00 pm,92,108
Detroit Pistons,Miami Heat,Tue Apr 5 2016,8:00 pm,89,107
Cleveland Cavaliers,Milwaukee Bucks,Tue Apr 5 2016,8:00 pm,109,80
New Orleans Pelicans,Philadelphia 76ers,Tue Apr 5 2016,7:00 pm,93,107
Portland Trail Blazers,Sacramento Kings,Tue Apr 5 2016,10:00 pm,115,107
Charlotte Hornets,Toronto Raptors,Tue Apr 5 2016,7:30 pm,90,96
San Antonio Spurs,Utah Jazz,Tue Apr 5 2016,9:00 pm,88,86
New Orleans Pelicans,Boston Celtics,Wed Apr 6 2016,7:30 pm,97,104
Houston Rockets,Dallas Mavericks,Wed Apr 6 2016,9:30 pm,86,88
Cleveland Cavaliers,Indiana Pacers,Wed Apr 6 2016,7:00 pm,109,123
Los Angeles Clippers,Los Angeles Lakers,Wed Apr 6 2016,10:30 pm,91,81
Charlotte Hornets,New York Knicks,Wed Apr 6 2016,7:30 pm,111,97
Detroit Pistons,Orlando Magic,Wed Apr 6 2016,7:00 pm,108,104
Oklahoma City Thunder,Portland Trail Blazers,Wed Apr 6 2016,10:00 pm,115,120
Brooklyn Nets,Washington Wizards,Wed Apr 6 2016,7:00 pm,103,121
Toronto Raptors,Atlanta Hawks,Thu Apr 7 2016,8:00 pm,87,95
San Antonio Spurs,Golden State Warriors,Thu Apr 7 2016,10:30 pm,101,112
Phoenix Suns,Houston Rockets,Thu Apr 7 2016,8:00 pm,124,115
Chicago Bulls,Miami Heat,Thu Apr 7 2016,8:00 pm,98,106
Minnesota Timberwolves,Sacramento Kings,Thu Apr 7 2016,10:00 pm,105,97
Milwaukee Bucks,Boston Celtics,Fri Apr 8 2016,7:30 pm,109,124
Brooklyn Nets,Charlotte Hornets,Fri Apr 8 2016,7:00 pm,99,113
Memphis Grizzlies,Dallas Mavericks,Fri Apr 8 2016,8:30 pm,93,103
San Antonio Spurs,Denver Nuggets,Fri Apr 8 2016,9:00 pm,98,102
Washington Wizards,Detroit Pistons,Fri Apr 8 2016,7:30 pm,99,112
Los Angeles Lakers,New Orleans Pelicans,Fri Apr 8 2016,8:00 pm,102,110
Miami Heat,Orlando Magic,Fri Apr 8 2016,7:00 pm,109,112
New York Knicks,Philadelphia 76ers,Fri Apr 8 2016,7:00 pm,109,102
Indiana Pacers,Toronto Raptors,Fri Apr 8 2016,7:30 pm,98,111
Los Angeles Clippers,Utah Jazz,Fri Apr 8 2016,9:00 pm,102,99
Boston Celtics,Atlanta Hawks,Sat Apr 9 2016,7:30 pm,107,118
Cleveland Cavaliers,Chicago Bulls,Sat Apr 9 2016,8:30 pm,102,105
Golden State Warriors,Memphis Grizzlies,Sat Apr 9 2016,8:00 pm,100,99
Phoenix Suns,New Orleans Pelicans,Sat Apr 9 2016,7:00 pm,121,100
Minnesota Timberwolves,Portland Trail Blazers,Sat Apr 9 2016,10:30 pm,106,105
Oklahoma City Thunder,Sacramento Kings,Sat Apr 9 2016,10:30 pm,112,114
Utah Jazz,Denver Nuggets,Sun Apr 10 2016,5:00 pm,100,84
Los Angeles Lakers,Houston Rockets,Sun Apr 10 2016,3:30 pm,110,130
Brooklyn Nets,Indiana Pacers,Sun Apr 10 2016,6:00 pm,105,129
Dallas Mavericks,Los Angeles Clippers,Sun Apr 10 2016,3:30 pm,91,98
Orlando Magic,Miami Heat,Sun Apr 10 2016,6:00 pm,96,118
Toronto Raptors,New York Knicks,Sun Apr 10 2016,7:30 pm,93,89
Milwaukee Bucks,Philadelphia 76ers,Sun Apr 10 2016,5:00 pm,109,108
Golden State Warriors,San Antonio Spurs,Sun Apr 10 2016,7:00 pm,92,86
Charlotte Hornets,Washington Wizards,Sun Apr 10 2016,12:00 pm,98,113
Charlotte Hornets,Boston Celtics,Mon Apr 11 2016,7:30 pm,114,100
Washington Wizards,Brooklyn Nets,Mon Apr 11 2016,7:30 pm,120,111
Atlanta Hawks,Cleveland Cavaliers,Mon Apr 11 2016,7:00 pm,94,109
Houston Rockets,Minnesota Timberwolves,Mon Apr 11 2016,8:00 pm,129,105
Chicago Bulls,New Orleans Pelicans,Mon Apr 11 2016,8:00 pm,121,116
Los Angeles Lakers,Oklahoma City Thunder,Mon Apr 11 2016,8:00 pm,79,112
Milwaukee Bucks,Orlando Magic,Mon Apr 11 2016,7:00 pm,98,107
Sacramento Kings,Phoenix Suns,Mon Apr 11 2016,10:00 pm,105,101
Dallas Mavericks,Utah Jazz,Mon Apr 11 2016,9:00 pm,101,92
Miami Heat,Detroit Pistons,Tue Apr 12 2016,7:30 pm,99,93
New York Knicks,Indiana Pacers,Tue Apr 12 2016,7:00 pm,90,102
Memphis Grizzlies,Los Angeles Clippers,Tue Apr 12 2016,10:30 pm,84,110
Oklahoma City Thunder,San Antonio Spurs,Tue Apr 12 2016,8:00 pm,98,102
Philadelphia 76ers,Toronto Raptors,Tue Apr 12 2016,7:30 pm,98,122
Miami Heat,Boston Celtics,Wed Apr 13 2016,8:00 pm,88,98
Toronto Raptors,Brooklyn Nets,Wed Apr 13 2016,8:00 pm,103,96
Philadelphia 76ers,Chicago Bulls,Wed Apr 13 2016,8:00 pm,105,115
Orlando Magic,Charlotte Hornets,Wed Apr 13 2016,8:00 pm,103,117
Detroit Pistons,Cleveland Cavaliers,Wed Apr 13 2016,8:00 pm,112,110
San Antonio Spurs,Dallas Mavericks,Wed Apr 13 2016,8:00 pm,96,91
Memphis Grizzlies,Golden State Warriors,Wed Apr 13 2016,10:30 pm,104,125
Sacramento Kings,Houston Rockets,Wed Apr 13 2016,8:00 pm,81,116
Utah Jazz,Los Angeles Lakers,Wed Apr 13 2016,10:30 pm,96,101
Indiana Pacers,Milwaukee Bucks,Wed Apr 13 2016,8:00 pm,97,92
New Orleans Pelicans,Minnesota Timberwolves,Wed Apr 13 2016,8:00 pm,109,144
Los Angeles Clippers,Phoenix Suns,Wed Apr 13 2016,10:30 pm,105,114
Denver Nuggets,Portland Trail Blazers,Wed Apr 13 2016,10:30 pm,99,107
Atlanta Hawks,Washington Wizards,Wed Apr 13 2016,8:00 pm,98,109
Boston Celtics,Atlanta Hawks,Sat Apr 16 2016,7:00 pm,101,102
Houston Rockets,Golden State Warriors,Sat Apr 16 2016,3:30 pm,78,104
Dallas Mavericks,Oklahoma City Thunder,Sat Apr 16 2016,9:30 pm,70,108
Indiana Pacers,Toronto Raptors,Sat Apr 16 2016,12:30 pm,100,90
Detroit Pistons,Cleveland Cavaliers,Sun Apr 17 2016,3:00 pm,101,106
Portland Trail Blazers,Los Angeles Clippers,Sun Apr 17 2016,10:30 pm,95,115
Charlotte Hornets,Miami Heat,Sun Apr 17 2016,5:30 pm,91,123
Memphis Grizzlies,San Antonio Spurs,Sun Apr 17 2016,8:00 pm,74,106
Houston Rockets,Golden State Warriors,Mon Apr 18 2016,10:30 pm,106,115
Dallas Mavericks,Oklahoma City Thunder,Mon Apr 18 2016,8:00 pm,85,84
Indiana Pacers,Toronto Raptors,Mon Apr 18 2016,7:00 pm,87,98
Boston Celtics,Atlanta Hawks,Tue Apr 19 2016,7:00 pm,72,89
