Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS,PTS
Los Angeles Lakers,Oklahoma City Thunder,Wed Jan 17 2018,8:00 pm,90,114
Utah Jazz,Sacramento Kings,Wed Jan 17 2018,10:00 pm,120,105
Detroit Pistons,Toronto Raptors,Wed Jan 17 2018,7:30 pm,91,96
Philadelphia 76ers,Boston Celtics,Thu Jan 18 2018,7:00 pm,89,80
Orlando Magic,Cleveland Cavaliers,Thu Jan 18 2018,7:00 pm,103,104
Minnesota Timberwolves,Houston Rockets,Thu Jan 18 2018,9:30 pm,98,116
Indiana Pacers,Portland Trail Blazers,Thu Jan 18 2018,10:00 pm,86,100
Miami Heat,Brooklyn Nets,Fri Jan 19 2018,7:30 pm,95,101
Phoenix Suns,Denver Nuggets,Fri Jan 19 2018,9:00 pm,108,100
Washington Wizards,Detroit Pistons,Fri Jan 19 2018,8:00 pm,122,112
Indiana Pacers,Los Angeles Lakers,Fri Jan 19 2018,10:30 pm,86,99
Sacramento Kings,Memphis Grizzlies,Fri Jan 19 2018,8:00 pm,88,106
San Antonio Spurs,Toronto Raptors,Fri Jan 19 2018,7:00 pm,83,86
New York Knicks,Utah Jazz,Fri Jan 19 2018,10:30 pm,117,115
Chicago Bulls,Atlanta Hawks,Sat Jan 20 2018,5:00 pm,113,97
Miami Heat,Charlotte Hornets,Sat Jan 20 2018,7:00 pm,106,105
Oklahoma City Thunder,Cleveland Cavaliers,Sat Jan 20 2018,3:30 pm,148,124
Golden State Warriors,Houston Rockets,Sat Jan 20 2018,8:30 pm,108,116
Toronto Raptors,Minnesota Timberwolves,Sat Jan 20 2018,9:00 pm,109,115
Memphis Grizzlies,New Orleans Pelicans,Sat Jan 20 2018,7:00 pm,104,111
Milwaukee Bucks,Philadelphia 76ers,Sat Jan 20 2018,7:30 pm,94,116
Dallas Mavericks,Portland Trail Blazers,Sat Jan 20 2018,10:00 pm,108,117
Los Angeles Clippers,Utah Jazz,Sat Jan 20 2018,9:00 pm,113,125
Orlando Magic,Boston Celtics,Sun Jan 21 2018,1:00 pm,103,95
Brooklyn Nets,Detroit Pistons,Sun Jan 21 2018,4:00 pm,101,100
New York Knicks,Los Angeles Lakers,Sun Jan 21 2018,3:30 pm,107,127
Indiana Pacers,San Antonio Spurs,Sun Jan 21 2018,7:00 pm,94,86
Utah Jazz,Atlanta Hawks,Mon Jan 22 2018,7:30 pm,90,104
Sacramento Kings,Charlotte Hornets,Mon Jan 22 2018,7:00 pm,107,112
Washington Wizards,Dallas Mavericks,Mon Jan 22 2018,8:30 pm,75,98
Portland Trail Blazers,Denver Nuggets,Mon Jan 22 2018,9:00 pm,101,104
Miami Heat,Houston Rockets,Mon Jan 22 2018,8:00 pm,90,99
Minnesota Timberwolves,Los Angeles Clippers,Mon Jan 22 2018,10:30 pm,126,118
Philadelphia 76ers,Memphis Grizzlies,Mon Jan 22 2018,8:00 pm,101,105
Phoenix Suns,Milwaukee Bucks,Mon Jan 22 2018,8:00 pm,105,109
Chicago Bulls,New Orleans Pelicans,Mon Jan 22 2018,8:00 pm,128,132
New York Knicks,Golden State Warriors,Tue Jan 23 2018,10:30 pm,112,123
Boston Celtics,Los Angeles Lakers,Tue Jan 23 2018,10:30 pm,107,108
Brooklyn Nets,Oklahoma City Thunder,Tue Jan 23 2018,8:00 pm,108,109
Sacramento Kings,Orlando Magic,Tue Jan 23 2018,7:00 pm,105,99
Cleveland Cavaliers,San Antonio Spurs,Tue Jan 23 2018,8:00 pm,102,114
Toronto Raptors,Atlanta Hawks,Wed Jan 24 2018,7:30 pm,108,93
New Orleans Pelicans,Charlotte Hornets,Wed Jan 24 2018,7:00 pm,101,96
Houston Rockets,Dallas Mavericks,Wed Jan 24 2018,8:00 pm,104,97
Utah Jazz,Detroit Pistons,Wed Jan 24 2018,7:00 pm,98,95
Phoenix Suns,Indiana Pacers,Wed Jan 24 2018,7:00 pm,101,116
Boston Celtics,Los Angeles Clippers,Wed Jan 24 2018,10:30 pm,113,102
San Antonio Spurs,Memphis Grizzlies,Wed Jan 24 2018,8:00 pm,108,85
Chicago Bulls,Philadelphia 76ers,Wed Jan 24 2018,7:00 pm,101,115
Minnesota Timberwolves,Portland Trail Blazers,Wed Jan 24 2018,10:00 pm,114,123
New York Knicks,Denver Nuggets,Thu Jan 25 2018,9:00 pm,118,130
Minnesota Timberwolves,Golden State Warriors,Thu Jan 25 2018,10:30 pm,113,126
Sacramento Kings,Miami Heat,Thu Jan 25 2018,7:30 pm,89,88
Washington Wizards,Oklahoma City Thunder,Thu Jan 25 2018,8:00 pm,112,121
Los Angeles Lakers,Chicago Bulls,Fri Jan 26 2018,8:00 pm,108,103
Atlanta Hawks,Charlotte Hornets,Fri Jan 26 2018,7:00 pm,110,121
Indiana Pacers,Cleveland Cavaliers,Fri Jan 26 2018,7:30 pm,108,115
Portland Trail Blazers,Dallas Mavericks,Fri Jan 26 2018,8:30 pm,107,93
Los Angeles Clippers,Memphis Grizzlies,Fri Jan 26 2018,8:00 pm,109,100
Brooklyn Nets,Milwaukee Bucks,Fri Jan 26 2018,8:00 pm,91,116
Houston Rockets,New Orleans Pelicans,Fri Jan 26 2018,8:00 pm,113,115
New York Knicks,Phoenix Suns,Fri Jan 26 2018,9:00 pm,107,85
Philadelphia 76ers,San Antonio Spurs,Fri Jan 26 2018,8:30 pm,97,78
Utah Jazz,Toronto Raptors,Fri Jan 26 2018,7:30 pm,97,93
Washington Wizards,Atlanta Hawks,Sat Jan 27 2018,7:30 pm,129,104
Dallas Mavericks,Denver Nuggets,Sat Jan 27 2018,9:00 pm,89,91
Oklahoma City Thunder,Detroit Pistons,Sat Jan 27 2018,5:00 pm,121,108
Boston Celtics,Golden State Warriors,Sat Jan 27 2018,8:30 pm,105,109
Orlando Magic,Indiana Pacers,Sat Jan 27 2018,7:00 pm,112,114
Charlotte Hornets,Miami Heat,Sat Jan 27 2018,7:30 pm,91,95
Brooklyn Nets,Minnesota Timberwolves,Sat Jan 27 2018,9:00 pm,97,111
Milwaukee Bucks,Chicago Bulls,Sun Jan 28 2018,3:30 pm,110,96
Detroit Pistons,Cleveland Cavaliers,Sun Jan 28 2018,6:00 pm,104,121
Phoenix Suns,Houston Rockets,Sun Jan 28 2018,3:30 pm,102,113
Los Angeles Clippers,New Orleans Pelicans,Sun Jan 28 2018,4:00 pm,112,103
Philadelphia 76ers,Oklahoma City Thunder,Sun Jan 28 2018,6:00 pm,112,122
Sacramento Kings,San Antonio Spurs,Sun Jan 28 2018,7:00 pm,98,113
Los Angeles Lakers,Toronto Raptors,Sun Jan 28 2018,6:00 pm,111,123
Minnesota Timberwolves,Atlanta Hawks,Mon Jan 29 2018,7:30 pm,100,105
Miami Heat,Dallas Mavericks,Mon Jan 29 2018,8:30 pm,95,88
Boston Celtics,Denver Nuggets,Mon Jan 29 2018,9:00 pm,111,110
Charlotte Hornets,Indiana Pacers,Mon Jan 29 2018,7:00 pm,96,105
Phoenix Suns,Memphis Grizzlies,Mon Jan 29 2018,8:00 pm,109,120
Philadelphia 76ers,Milwaukee Bucks,Mon Jan 29 2018,8:00 pm,95,107
Cleveland Cavaliers,Detroit Pistons,Tue Jan 30 2018,8:00 pm,114,125
Orlando Magic,Houston Rockets,Tue Jan 30 2018,8:00 pm,107,114
Portland Trail Blazers,Los Angeles Clippers,Tue Jan 30 2018,10:30 pm,104,96
Sacramento Kings,New Orleans Pelicans,Tue Jan 30 2018,8:00 pm,114,103
Brooklyn Nets,New York Knicks,Tue Jan 30 2018,7:30 pm,95,111
Denver Nuggets,San Antonio Spurs,Tue Jan 30 2018,8:30 pm,104,106
Minnesota Timberwolves,Toronto Raptors,Tue Jan 30 2018,7:30 pm,104,109
Golden State Warriors,Utah Jazz,Tue Jan 30 2018,9:00 pm,99,129
Oklahoma City Thunder,Washington Wizards,Tue Jan 30 2018,7:00 pm,96,102
Charlotte Hornets,Atlanta Hawks,Wed Jan 31 2018,7:30 pm,123,110
New York Knicks,Boston Celtics,Wed Jan 31 2018,8:00 pm,73,103
Philadelphia 76ers,Brooklyn Nets,Wed Jan 31 2018,7:30 pm,108,116
Miami Heat,Cleveland Cavaliers,Wed Jan 31 2018,7:30 pm,89,91
Memphis Grizzlies,Indiana Pacers,Wed Jan 31 2018,7:00 pm,101,105
Los Angeles Lakers,Orlando Magic,Wed Jan 31 2018,7:00 pm,105,127
Dallas Mavericks,Phoenix Suns,Wed Jan 31 2018,10:30 pm,88,102
Chicago Bulls,Portland Trail Blazers,Wed Jan 31 2018,10:00 pm,108,124
Oklahoma City Thunder,Denver Nuggets,Thu Feb 1 2018,10:30 pm,124,127
Memphis Grizzlies,Detroit Pistons,Thu Feb 1 2018,7:00 pm,102,104
Milwaukee Bucks,Minnesota Timberwolves,Thu Feb 1 2018,8:00 pm,89,108
Houston Rockets,San Antonio Spurs,Thu Feb 1 2018,8:00 pm,102,91
Toronto Raptors,Washington Wizards,Thu Feb 1 2018,7:00 pm,119,122
Atlanta Hawks,Boston Celtics,Fri Feb 2 2018,7:30 pm,110,119
Los Angeles Lakers,Brooklyn Nets,Fri Feb 2 2018,7:30 pm,102,99
Indiana Pacers,Charlotte Hornets,Fri Feb 2 2018,7:00 pm,126,133
New York Knicks,Milwaukee Bucks,Fri Feb 2 2018,8:00 pm,90,92
New Orleans Pelicans,Oklahoma City Thunder,Fri Feb 2 2018,9:00 pm,114,100
Miami Heat,Philadelphia 76ers,Fri Feb 2 2018,8:00 pm,97,103
Utah Jazz,Phoenix Suns,Fri Feb 2 2018,9:00 pm,129,97
Golden State Warriors,Sacramento Kings,Fri Feb 2 2018,10:30 pm,119,104
Portland Trail Blazers,Toronto Raptors,Fri Feb 2 2018,7:30 pm,105,130
Houston Rockets,Cleveland Cavaliers,Sat Feb 3 2018,8:30 pm,120,88
Golden State Warriors,Denver Nuggets,Sat Feb 3 2018,9:00 pm,108,115
Miami Heat,Detroit Pistons,Sat Feb 3 2018,7:00 pm,107,111
Philadelphia 76ers,Indiana Pacers,Sat Feb 3 2018,7:00 pm,92,100
Chicago Bulls,Los Angeles Clippers,Sat Feb 3 2018,3:30 pm,103,113
New Orleans Pelicans,Minnesota Timberwolves,Sat Feb 3 2018,9:00 pm,107,118
Washington Wizards,Orlando Magic,Sat Feb 3 2018,7:00 pm,115,98
Dallas Mavericks,Sacramento Kings,Sat Feb 3 2018,10:00 pm,106,99
Utah Jazz,San Antonio Spurs,Sat Feb 3 2018,9:00 pm,120,111
Portland Trail Blazers,Boston Celtics,Sun Feb 4 2018,12:00 pm,96,97
Milwaukee Bucks,Brooklyn Nets,Sun Feb 4 2018,12:00 pm,109,94
Atlanta Hawks,New York Knicks,Sun Feb 4 2018,12:00 pm,99,96
Los Angeles Lakers,Oklahoma City Thunder,Sun Feb 4 2018,2:00 pm,108,104
Charlotte Hornets,Phoenix Suns,Sun Feb 4 2018,3:00 pm,115,110
Memphis Grizzlies,Toronto Raptors,Sun Feb 4 2018,12:00 pm,86,101
Charlotte Hornets,Denver Nuggets,Mon Feb 5 2018,9:00 pm,104,121
Portland Trail Blazers,Detroit Pistons,Mon Feb 5 2018,7:00 pm,91,111
Washington Wizards,Indiana Pacers,Mon Feb 5 2018,7:00 pm,111,102
Dallas Mavericks,Los Angeles Clippers,Mon Feb 5 2018,10:30 pm,101,104
Orlando Magic,Miami Heat,Mon Feb 5 2018,7:30 pm,111,109
Utah Jazz,New Orleans Pelicans,Mon Feb 5 2018,8:00 pm,133,109
Chicago Bulls,Sacramento Kings,Mon Feb 5 2018,10:00 pm,98,104
Memphis Grizzlies,Atlanta Hawks,Tue Feb 6 2018,7:30 pm,82,108
Houston Rockets,Brooklyn Nets,Tue Feb 6 2018,7:30 pm,123,113
Oklahoma City Thunder,Golden State Warriors,Tue Feb 6 2018,10:30 pm,125,105
Phoenix Suns,Los Angeles Lakers,Tue Feb 6 2018,10:30 pm,93,112
Milwaukee Bucks,New York Knicks,Tue Feb 6 2018,7:30 pm,103,89
Cleveland Cavaliers,Orlando Magic,Tue Feb 6 2018,7:00 pm,98,116
Washington Wizards,Philadelphia 76ers,Tue Feb 6 2018,8:00 pm,102,115
Boston Celtics,Toronto Raptors,Tue Feb 6 2018,7:30 pm,91,111
Minnesota Timberwolves,Cleveland Cavaliers,Wed Feb 7 2018,8:00 pm,138,140
Brooklyn Nets,Detroit Pistons,Wed Feb 7 2018,7:00 pm,106,115
Utah Jazz,Memphis Grizzlies,Wed Feb 7 2018,8:00 pm,92,88
Houston Rockets,Miami Heat,Wed Feb 7 2018,7:30 pm,109,101
San Antonio Spurs,Phoenix Suns,Wed Feb 7 2018,10:30 pm,129,81
Dallas Mavericks,Golden State Warriors,Thu Feb 8 2018,10:30 pm,103,121
Oklahoma City Thunder,Los Angeles Lakers,Thu Feb 8 2018,10:30 pm,81,106
Atlanta Hawks,Orlando Magic,Thu Feb 8 2018,7:00 pm,98,100
Charlotte Hornets,Portland Trail Blazers,Thu Feb 8 2018,10:00 pm,103,109
New York Knicks,Toronto Raptors,Thu Feb 8 2018,7:30 pm,88,113
Boston Celtics,Washington Wizards,Thu Feb 8 2018,8:00 pm,110,104
Cleveland Cavaliers,Atlanta Hawks,Fri Feb 9 2018,7:30 pm,123,107
Indiana Pacers,Boston Celtics,Fri Feb 9 2018,7:30 pm,97,91
Minnesota Timberwolves,Chicago Bulls,Fri Feb 9 2018,9:30 pm,113,114
Los Angeles Clippers,Detroit Pistons,Fri Feb 9 2018,7:00 pm,108,95
Denver Nuggets,Houston Rockets,Fri Feb 9 2018,8:00 pm,104,130
Milwaukee Bucks,Miami Heat,Fri Feb 9 2018,8:00 pm,85,91
New Orleans Pelicans,Philadelphia 76ers,Fri Feb 9 2018,7:00 pm,82,100
Portland Trail Blazers,Sacramento Kings,Fri Feb 9 2018,10:30 pm,118,100
Charlotte Hornets,Utah Jazz,Fri Feb 9 2018,9:00 pm,94,106
New Orleans Pelicans,Brooklyn Nets,Sat Feb 10 2018,6:00 pm,138,128
Washington Wizards,Chicago Bulls,Sat Feb 10 2018,8:00 pm,101,90
Los Angeles Lakers,Dallas Mavericks,Sat Feb 10 2018,8:30 pm,123,130
San Antonio Spurs,Golden State Warriors,Sat Feb 10 2018,8:30 pm,105,122
Milwaukee Bucks,Orlando Magic,Sat Feb 10 2018,7:00 pm,111,104
Los Angeles Clippers,Philadelphia 76ers,Sat Feb 10 2018,7:00 pm,98,112
Denver Nuggets,Phoenix Suns,Sat Feb 10 2018,9:00 pm,123,113
Detroit Pistons,Atlanta Hawks,Sun Feb 11 2018,3:30 pm,115,118
Cleveland Cavaliers,Boston Celtics,Sun Feb 11 2018,3:30 pm,121,99
Toronto Raptors,Charlotte Hornets,Sun Feb 11 2018,1:00 pm,123,103
Dallas Mavericks,Houston Rockets,Sun Feb 11 2018,7:00 pm,97,104
New York Knicks,Indiana Pacers,Sun Feb 11 2018,5:00 pm,113,121
Sacramento Kings,Minnesota Timberwolves,Sun Feb 11 2018,7:00 pm,106,111
Memphis Grizzlies,Oklahoma City Thunder,Sun Feb 11 2018,7:00 pm,92,110
Utah Jazz,Portland Trail Blazers,Sun Feb 11 2018,9:00 pm,115,96
Los Angeles Clippers,Brooklyn Nets,Mon Feb 12 2018,7:30 pm,114,101
Orlando Magic,Chicago Bulls,Mon Feb 12 2018,8:00 pm,101,105
New Orleans Pelicans,Detroit Pistons,Mon Feb 12 2018,7:00 pm,118,103
Phoenix Suns,Golden State Warriors,Mon Feb 12 2018,10:30 pm,83,129
New York Knicks,Philadelphia 76ers,Mon Feb 12 2018,7:00 pm,92,108
San Antonio Spurs,Utah Jazz,Mon Feb 12 2018,9:00 pm,99,101
Sacramento Kings,Dallas Mavericks,Tue Feb 13 2018,8:30 pm,114,109
San Antonio Spurs,Denver Nuggets,Tue Feb 13 2018,10:30 pm,109,117
Atlanta Hawks,Milwaukee Bucks,Tue Feb 13 2018,8:00 pm,92,97
Houston Rockets,Minnesota Timberwolves,Tue Feb 13 2018,8:00 pm,126,108
Cleveland Cavaliers,Oklahoma City Thunder,Tue Feb 13 2018,8:00 pm,120,112
Miami Heat,Toronto Raptors,Tue Feb 13 2018,7:00 pm,112,115
Los Angeles Clippers,Boston Celtics,Wed Feb 14 2018,8:00 pm,129,119
Indiana Pacers,Brooklyn Nets,Wed Feb 14 2018,7:30 pm,108,103
Toronto Raptors,Chicago Bulls,Wed Feb 14 2018,8:00 pm,122,98
Atlanta Hawks,Detroit Pistons,Wed Feb 14 2018,7:00 pm,98,104
Sacramento Kings,Houston Rockets,Wed Feb 14 2018,8:00 pm,91,100
Oklahoma City Thunder,Memphis Grizzlies,Wed Feb 14 2018,8:00 pm,121,114
Los Angeles Lakers,New Orleans Pelicans,Wed Feb 14 2018,8:00 pm,117,139
Washington Wizards,New York Knicks,Wed Feb 14 2018,7:30 pm,118,113
Charlotte Hornets,Orlando Magic,Wed Feb 14 2018,7:00 pm,104,102
Miami Heat,Philadelphia 76ers,Wed Feb 14 2018,7:00 pm,102,104
Golden State Warriors,Portland Trail Blazers,Wed Feb 14 2018,10:30 pm,117,123
Phoenix Suns,Utah Jazz,Wed Feb 14 2018,9:00 pm,97,107
Denver Nuggets,Milwaukee Bucks,Thu Feb 15 2018,8:00 pm,134,123
Los Angeles Lakers,Minnesota Timberwolves,Thu Feb 15 2018,9:00 pm,111,119
Philadelphia 76ers,Chicago Bulls,Thu Feb 22 2018,8:00 pm,116,115
Brooklyn Nets,Charlotte Hornets,Thu Feb 22 2018,7:00 pm,96,111
Washington Wizards,Cleveland Cavaliers,Thu Feb 22 2018,8:00 pm,110,103
Los Angeles Clippers,Golden State Warriors,Thu Feb 22 2018,10:30 pm,127,134
New York Knicks,Orlando Magic,Thu Feb 22 2018,7:00 pm,120,113
Oklahoma City Thunder,Sacramento Kings,Thu Feb 22 2018,10:00 pm,110,107
San Antonio Spurs,Denver Nuggets,Fri Feb 23 2018,9:00 pm,119,122
Boston Celtics,Detroit Pistons,Fri Feb 23 2018,7:00 pm,110,98
Minnesota Timberwolves,Houston Rockets,Fri Feb 23 2018,8:00 pm,102,120
Atlanta Hawks,Indiana Pacers,Fri Feb 23 2018,7:00 pm,93,116
Dallas Mavericks,Los Angeles Lakers,Fri Feb 23 2018,10:30 pm,102,124
Cleveland Cavaliers,Memphis Grizzlies,Fri Feb 23 2018,8:00 pm,112,89
Miami Heat,New Orleans Pelicans,Fri Feb 23 2018,8:00 pm,123,124
Los Angeles Clippers,Phoenix Suns,Fri Feb 23 2018,9:00 pm,128,117
Milwaukee Bucks,Toronto Raptors,Fri Feb 23 2018,7:30 pm,122,119
Portland Trail Blazers,Utah Jazz,Fri Feb 23 2018,9:00 pm,100,81
Charlotte Hornets,Washington Wizards,Fri Feb 23 2018,7:00 pm,122,105
Oklahoma City Thunder,Golden State Warriors,Sat Feb 24 2018,8:30 pm,80,112
Memphis Grizzlies,Miami Heat,Sat Feb 24 2018,7:30 pm,89,115
Chicago Bulls,Minnesota Timberwolves,Sat Feb 24 2018,9:00 pm,104,122
Boston Celtics,New York Knicks,Sat Feb 24 2018,7:30 pm,121,112
Orlando Magic,Philadelphia 76ers,Sat Feb 24 2018,5:00 pm,105,116
Portland Trail Blazers,Phoenix Suns,Sat Feb 24 2018,9:00 pm,106,104
Los Angeles Lakers,Sacramento Kings,Sat Feb 24 2018,10:00 pm,113,108
Dallas Mavericks,Utah Jazz,Sat Feb 24 2018,9:00 pm,90,97
Detroit Pistons,Charlotte Hornets,Sun Feb 25 2018,1:00 pm,98,114
San Antonio Spurs,Cleveland Cavaliers,Sun Feb 25 2018,3:30 pm,110,94
Houston Rockets,Denver Nuggets,Sun Feb 25 2018,8:00 pm,119,114
New Orleans Pelicans,Milwaukee Bucks,Sun Feb 25 2018,3:00 pm,123,121
Philadelphia 76ers,Washington Wizards,Sun Feb 25 2018,8:00 pm,94,109
Los Angeles Lakers,Atlanta Hawks,Mon Feb 26 2018,7:30 pm,123,104
Memphis Grizzlies,Boston Celtics,Mon Feb 26 2018,7:30 pm,98,109
Chicago Bulls,Brooklyn Nets,Mon Feb 26 2018,7:30 pm,87,104
Indiana Pacers,Dallas Mavericks,Mon Feb 26 2018,8:30 pm,103,109
Phoenix Suns,New Orleans Pelicans,Mon Feb 26 2018,8:00 pm,116,125
Golden State Warriors,New York Knicks,Mon Feb 26 2018,7:30 pm,125,111
Orlando Magic,Oklahoma City Thunder,Mon Feb 26 2018,8:00 pm,105,112
Minnesota Timberwolves,Sacramento Kings,Mon Feb 26 2018,10:00 pm,118,100
Detroit Pistons,Toronto Raptors,Mon Feb 26 2018,7:30 pm,94,123
Houston Rockets,Utah Jazz,Mon Feb 26 2018,9:00 pm,96,85
Chicago Bulls,Charlotte Hornets,Tue Feb 27 2018,7:00 pm,103,118
Brooklyn Nets,Cleveland Cavaliers,Tue Feb 27 2018,7:00 pm,123,129
Los Angeles Clippers,Denver Nuggets,Tue Feb 27 2018,10:30 pm,122,120
Philadelphia 76ers,Miami Heat,Tue Feb 27 2018,7:30 pm,101,102
Washington Wizards,Milwaukee Bucks,Tue Feb 27 2018,8:00 pm,107,104
Sacramento Kings,Portland Trail Blazers,Tue Feb 27 2018,10:00 pm,99,116
Indiana Pacers,Atlanta Hawks,Wed Feb 28 2018,7:30 pm,102,107
Charlotte Hornets,Boston Celtics,Wed Feb 28 2018,7:30 pm,106,134
Oklahoma City Thunder,Dallas Mavericks,Wed Feb 28 2018,8:30 pm,111,110
Milwaukee Bucks,Detroit Pistons,Wed Feb 28 2018,7:00 pm,87,110
Houston Rockets,Los Angeles Clippers,Wed Feb 28 2018,10:30 pm,105,92
Phoenix Suns,Memphis Grizzlies,Wed Feb 28 2018,8:00 pm,110,102
Toronto Raptors,Orlando Magic,Wed Feb 28 2018,7:00 pm,117,104
New Orleans Pelicans,San Antonio Spurs,Wed Feb 28 2018,8:30 pm,121,116
Golden State Warriors,Washington Wizards,Wed Feb 28 2018,8:00 pm,109,101
Philadelphia 76ers,Cleveland Cavaliers,Thu Mar 1 2018,8:00 pm,108,97
Los Angeles Lakers,Miami Heat,Thu Mar 1 2018,7:30 pm,131,113
Minnesota Timberwolves,Portland Trail Blazers,Thu Mar 1 2018,10:30 pm,99,108
Brooklyn Nets,Sacramento Kings,Thu Mar 1 2018,10:00 pm,111,116
Golden State Warriors,Atlanta Hawks,Fri Mar 2 2018,7:30 pm,114,109
Dallas Mavericks,Chicago Bulls,Fri Mar 2 2018,8:00 pm,100,108
New York Knicks,Los Angeles Clippers,Fri Mar 2 2018,10:30 pm,105,128
Denver Nuggets,Memphis Grizzlies,Fri Mar 2 2018,8:00 pm,108,102
Indiana Pacers,Milwaukee Bucks,Fri Mar 2 2018,8:00 pm,103,96
Detroit Pistons,Orlando Magic,Fri Mar 2 2018,7:00 pm,106,115
Charlotte Hornets,Philadelphia 76ers,Fri Mar 2 2018,7:00 pm,99,110
Oklahoma City Thunder,Phoenix Suns,Fri Mar 2 2018,9:00 pm,124,116
Minnesota Timberwolves,Utah Jazz,Fri Mar 2 2018,10:30 pm,108,116
Toronto Raptors,Washington Wizards,Fri Mar 2 2018,8:00 pm,102,95
Denver Nuggets,Cleveland Cavaliers,Sat Mar 3 2018,7:30 pm,126,117
Boston Celtics,Houston Rockets,Sat Mar 3 2018,8:30 pm,120,123
Detroit Pistons,Miami Heat,Sat Mar 3 2018,7:30 pm,96,105
Memphis Grizzlies,Orlando Magic,Sat Mar 3 2018,7:00 pm,100,107
Oklahoma City Thunder,Portland Trail Blazers,Sat Mar 3 2018,10:00 pm,100,108
Utah Jazz,Sacramento Kings,Sat Mar 3 2018,10:00 pm,98,91
Los Angeles Lakers,San Antonio Spurs,Sat Mar 3 2018,9:00 pm,116,112
Phoenix Suns,Atlanta Hawks,Sun Mar 4 2018,3:30 pm,112,113
New Orleans Pelicans,Dallas Mavericks,Sun Mar 4 2018,7:00 pm,126,109
Brooklyn Nets,Los Angeles Clippers,Sun Mar 4 2018,9:00 pm,120,123
Philadelphia 76ers,Milwaukee Bucks,Sun Mar 4 2018,8:00 pm,110,118
New York Knicks,Sacramento Kings,Sun Mar 4 2018,9:00 pm,99,102
Charlotte Hornets,Toronto Raptors,Sun Mar 4 2018,6:00 pm,98,103
Indiana Pacers,Washington Wizards,Sun Mar 4 2018,6:00 pm,98,95
Boston Celtics,Chicago Bulls,Mon Mar 5 2018,8:00 pm,105,89
Detroit Pistons,Cleveland Cavaliers,Mon Mar 5 2018,7:00 pm,90,112
Milwaukee Bucks,Indiana Pacers,Mon Mar 5 2018,7:00 pm,89,92
Portland Trail Blazers,Los Angeles Lakers,Mon Mar 5 2018,10:30 pm,108,103
Phoenix Suns,Miami Heat,Mon Mar 5 2018,7:30 pm,103,125
Memphis Grizzlies,San Antonio Spurs,Mon Mar 5 2018,8:30 pm,98,100
Orlando Magic,Utah Jazz,Mon Mar 5 2018,9:00 pm,80,94
Philadelphia 76ers,Charlotte Hornets,Tue Mar 6 2018,7:00 pm,128,114
Denver Nuggets,Dallas Mavericks,Tue Mar 6 2018,8:30 pm,107,118
Brooklyn Nets,Golden State Warriors,Tue Mar 6 2018,10:30 pm,101,114
New Orleans Pelicans,Los Angeles Clippers,Tue Mar 6 2018,10:30 pm,121,116
Houston Rockets,Oklahoma City Thunder,Tue Mar 6 2018,8:00 pm,122,112
New York Knicks,Portland Trail Blazers,Tue Mar 6 2018,10:00 pm,87,111
Atlanta Hawks,Toronto Raptors,Tue Mar 6 2018,7:00 pm,90,106
Miami Heat,Washington Wizards,Tue Mar 6 2018,7:00 pm,113,117
Memphis Grizzlies,Chicago Bulls,Wed Mar 7 2018,8:00 pm,110,119
Cleveland Cavaliers,Denver Nuggets,Wed Mar 7 2018,10:30 pm,113,108
Toronto Raptors,Detroit Pistons,Wed Mar 7 2018,8:00 pm,121,119
Utah Jazz,Indiana Pacers,Wed Mar 7 2018,7:00 pm,104,84
Orlando Magic,Los Angeles Lakers,Wed Mar 7 2018,10:30 pm,107,108
Houston Rockets,Milwaukee Bucks,Wed Mar 7 2018,8:00 pm,110,99
New Orleans Pelicans,Sacramento Kings,Wed Mar 7 2018,10:00 pm,114,101
Brooklyn Nets,Charlotte Hornets,Thu Mar 8 2018,7:00 pm,125,111
San Antonio Spurs,Golden State Warriors,Thu Mar 8 2018,10:30 pm,107,110
Philadelphia 76ers,Miami Heat,Thu Mar 8 2018,7:30 pm,99,108
Boston Celtics,Minnesota Timberwolves,Thu Mar 8 2018,8:00 pm,117,109
Phoenix Suns,Oklahoma City Thunder,Thu Mar 8 2018,8:00 pm,87,115
Los Angeles Lakers,Denver Nuggets,Fri Mar 9 2018,9:00 pm,116,125
Chicago Bulls,Detroit Pistons,Fri Mar 9 2018,7:00 pm,83,99
Atlanta Hawks,Indiana Pacers,Fri Mar 9 2018,7:00 pm,87,112
Cleveland Cavaliers,Los Angeles Clippers,Fri Mar 9 2018,10:30 pm,102,116
Utah Jazz,Memphis Grizzlies,Fri Mar 9 2018,8:00 pm,95,78
New York Knicks,Milwaukee Bucks,Fri Mar 9 2018,8:00 pm,112,120
Washington Wizards,New Orleans Pelicans,Fri Mar 9 2018,8:00 pm,116,97
Golden State Warriors,Portland Trail Blazers,Fri Mar 9 2018,10:00 pm,108,125
Orlando Magic,Sacramento Kings,Fri Mar 9 2018,10:00 pm,88,94
Houston Rockets,Toronto Raptors,Fri Mar 9 2018,7:30 pm,105,108
Phoenix Suns,Charlotte Hornets,Sat Mar 10 2018,5:00 pm,115,122
Memphis Grizzlies,Dallas Mavericks,Sat Mar 10 2018,8:30 pm,80,114
Orlando Magic,Los Angeles Clippers,Sat Mar 10 2018,10:30 pm,105,113
Washington Wizards,Miami Heat,Sat Mar 10 2018,7:30 pm,102,129
