Visitor/Neutral,Home/Neutral,Date,Start (ET),PTS,PTS
San Antonio Spurs,Chicago Bulls,Thu Dec 8 2016,9:30 pm,91,95
Portland Trail Blazers,Memphis Grizzlies,Thu Dec 8 2016,8:00 pm,86,88
Philadelphia 76ers,New Orleans Pelicans,Thu Dec 8 2016,8:00 pm,99,88
Minnesota Timberwolves,Toronto Raptors,Thu Dec 8 2016,7:00 pm,110,124
Golden State Warriors,Utah Jazz,Thu Dec 8 2016,9:00 pm,106,99
Denver Nuggets,Washington Wizards,Thu Dec 8 2016,7:00 pm,85,92
Toronto Raptors,Boston Celtics,Fri Dec 9 2016,7:30 pm,101,94
Orlando Magic,Charlotte Hornets,Fri Dec 9 2016,7:00 pm,88,109
Miami Heat,Cleveland Cavaliers,Fri Dec 9 2016,7:30 pm,84,114
Indiana Pacers,Dallas Mavericks,Fri Dec 9 2016,8:30 pm,103,111
Phoenix Suns,Los Angeles Lakers,Fri Dec 9 2016,10:30 pm,119,115
Atlanta Hawks,Milwaukee Bucks,Fri Dec 9 2016,8:00 pm,114,110
Detroit Pistons,Minnesota Timberwolves,Fri Dec 9 2016,8:00 pm,117,90
Houston Rockets,Oklahoma City Thunder,Fri Dec 9 2016,8:00 pm,102,99
New York Knicks,Sacramento Kings,Fri Dec 9 2016,10:30 pm,103,100
Miami Heat,Chicago Bulls,Sat Dec 10 2016,8:00 pm,100,105
Charlotte Hornets,Cleveland Cavaliers,Sat Dec 10 2016,7:30 pm,105,116
Dallas Mavericks,Houston Rockets,Sat Dec 10 2016,8:00 pm,87,109
Portland Trail Blazers,Indiana Pacers,Sat Dec 10 2016,7:00 pm,111,118
New Orleans Pelicans,Los Angeles Clippers,Sat Dec 10 2016,10:30 pm,105,133
Golden State Warriors,Memphis Grizzlies,Sat Dec 10 2016,8:00 pm,89,110
Denver Nuggets,Orlando Magic,Sat Dec 10 2016,7:00 pm,121,113
Brooklyn Nets,San Antonio Spurs,Sat Dec 10 2016,8:30 pm,101,130
Sacramento Kings,Utah Jazz,Sat Dec 10 2016,9:00 pm,84,104
Milwaukee Bucks,Washington Wizards,Sat Dec 10 2016,7:00 pm,105,110
Philadelphia 76ers,Detroit Pistons,Sun Dec 11 2016,6:00 pm,97,79
New York Knicks,Los Angeles Lakers,Sun Dec 11 2016,9:30 pm,118,112
Golden State Warriors,Minnesota Timberwolves,Sun Dec 11 2016,7:00 pm,116,108
Boston Celtics,Oklahoma City Thunder,Sun Dec 11 2016,7:00 pm,96,99
New Orleans Pelicans,Phoenix Suns,Sun Dec 11 2016,8:30 pm,120,119
Denver Nuggets,Dallas Mavericks,Mon Dec 12 2016,8:30 pm,92,112
Brooklyn Nets,Houston Rockets,Mon Dec 12 2016,8:00 pm,118,122
Charlotte Hornets,Indiana Pacers,Mon Dec 12 2016,7:00 pm,94,110
Portland Trail Blazers,Los Angeles Clippers,Mon Dec 12 2016,10:30 pm,120,121
Washington Wizards,Miami Heat,Mon Dec 12 2016,7:30 pm,101,112
Los Angeles Lakers,Sacramento Kings,Mon Dec 12 2016,10:30 pm,92,116
Milwaukee Bucks,Toronto Raptors,Mon Dec 12 2016,7:30 pm,100,122
Orlando Magic,Atlanta Hawks,Tue Dec 13 2016,7:30 pm,131,120
Minnesota Timberwolves,Chicago Bulls,Tue Dec 13 2016,8:00 pm,99,94
Memphis Grizzlies,Cleveland Cavaliers,Tue Dec 13 2016,7:00 pm,86,103
Golden State Warriors,New Orleans Pelicans,Tue Dec 13 2016,8:00 pm,113,109
New York Knicks,Phoenix Suns,Tue Dec 13 2016,9:00 pm,111,113
Oklahoma City Thunder,Portland Trail Blazers,Tue Dec 13 2016,10:30 pm,95,114
Los Angeles Lakers,Brooklyn Nets,Wed Dec 14 2016,7:30 pm,97,107
Detroit Pistons,Dallas Mavericks,Wed Dec 14 2016,8:30 pm,95,85
Sacramento Kings,Houston Rockets,Wed Dec 14 2016,8:00 pm,98,132
Cleveland Cavaliers,Memphis Grizzlies,Wed Dec 14 2016,8:00 pm,85,93
Indiana Pacers,Miami Heat,Wed Dec 14 2016,7:00 pm,89,95
Los Angeles Clippers,Orlando Magic,Wed Dec 14 2016,7:00 pm,113,108
Toronto Raptors,Philadelphia 76ers,Wed Dec 14 2016,7:00 pm,123,114
Boston Celtics,San Antonio Spurs,Wed Dec 14 2016,9:30 pm,101,108
Oklahoma City Thunder,Utah Jazz,Wed Dec 14 2016,9:00 pm,89,109
Charlotte Hornets,Washington Wizards,Wed Dec 14 2016,7:00 pm,106,109
Portland Trail Blazers,Denver Nuggets,Thu Dec 15 2016,9:00 pm,120,132
New York Knicks,Golden State Warriors,Thu Dec 15 2016,10:30 pm,90,103
Chicago Bulls,Milwaukee Bucks,Thu Dec 15 2016,8:00 pm,97,108
Indiana Pacers,New Orleans Pelicans,Thu Dec 15 2016,8:00 pm,95,102
San Antonio Spurs,Phoenix Suns,Thu Dec 15 2016,9:00 pm,107,92
Charlotte Hornets,Boston Celtics,Fri Dec 16 2016,7:30 pm,88,96
Milwaukee Bucks,Chicago Bulls,Fri Dec 16 2016,8:00 pm,95,69
New Orleans Pelicans,Houston Rockets,Fri Dec 16 2016,8:00 pm,100,122
Sacramento Kings,Memphis Grizzlies,Fri Dec 16 2016,8:00 pm,96,92
Los Angeles Clippers,Miami Heat,Fri Dec 16 2016,8:00 pm,102,98
Brooklyn Nets,Orlando Magic,Fri Dec 16 2016,7:00 pm,111,118
Los Angeles Lakers,Philadelphia 76ers,Fri Dec 16 2016,8:00 pm,100,89
Atlanta Hawks,Toronto Raptors,Fri Dec 16 2016,7:30 pm,125,121
Dallas Mavericks,Utah Jazz,Fri Dec 16 2016,10:30 pm,100,103
Detroit Pistons,Washington Wizards,Fri Dec 16 2016,7:00 pm,108,122
Charlotte Hornets,Atlanta Hawks,Sat Dec 17 2016,7:30 pm,107,99
Los Angeles Lakers,Cleveland Cavaliers,Sat Dec 17 2016,7:30 pm,108,119
New York Knicks,Denver Nuggets,Sat Dec 17 2016,9:00 pm,114,127
Indiana Pacers,Detroit Pistons,Sat Dec 17 2016,7:00 pm,105,90
Portland Trail Blazers,Golden State Warriors,Sat Dec 17 2016,10:30 pm,90,135
Houston Rockets,Minnesota Timberwolves,Sat Dec 17 2016,8:00 pm,111,109
Phoenix Suns,Oklahoma City Thunder,Sat Dec 17 2016,5:00 pm,101,114
Sacramento Kings,Dallas Mavericks,Sun Dec 18 2016,4:00 pm,79,99
Utah Jazz,Memphis Grizzlies,Sun Dec 18 2016,6:00 pm,82,73
Boston Celtics,Miami Heat,Sun Dec 18 2016,6:00 pm,105,95
Toronto Raptors,Orlando Magic,Sun Dec 18 2016,6:00 pm,109,79
Brooklyn Nets,Philadelphia 76ers,Sun Dec 18 2016,6:00 pm,107,108
New Orleans Pelicans,San Antonio Spurs,Sun Dec 18 2016,7:00 pm,100,113
Los Angeles Clippers,Washington Wizards,Sun Dec 18 2016,3:30 pm,110,117
Detroit Pistons,Chicago Bulls,Mon Dec 19 2016,8:00 pm,82,113
Dallas Mavericks,Denver Nuggets,Mon Dec 19 2016,9:00 pm,107,117
Washington Wizards,Indiana Pacers,Mon Dec 19 2016,7:00 pm,105,107
Phoenix Suns,Minnesota Timberwolves,Mon Dec 19 2016,8:00 pm,108,115
Atlanta Hawks,Oklahoma City Thunder,Mon Dec 19 2016,8:00 pm,110,108
Los Angeles Lakers,Charlotte Hornets,Tue Dec 20 2016,7:00 pm,113,117
Utah Jazz,Golden State Warriors,Tue Dec 20 2016,10:30 pm,74,104
San Antonio Spurs,Houston Rockets,Tue Dec 20 2016,8:00 pm,102,100
Denver Nuggets,Los Angeles Clippers,Tue Dec 20 2016,10:30 pm,102,119
Boston Celtics,Memphis Grizzlies,Tue Dec 20 2016,8:00 pm,112,109
Orlando Magic,Miami Heat,Tue Dec 20 2016,7:30 pm,136,130
Cleveland Cavaliers,Milwaukee Bucks,Tue Dec 20 2016,8:00 pm,114,108
Indiana Pacers,New York Knicks,Tue Dec 20 2016,7:30 pm,111,118
New Orleans Pelicans,Philadelphia 76ers,Tue Dec 20 2016,7:00 pm,108,93
Portland Trail Blazers,Sacramento Kings,Tue Dec 20 2016,10:30 pm,121,126
Brooklyn Nets,Toronto Raptors,Tue Dec 20 2016,7:30 pm,104,116
Minnesota Timberwolves,Atlanta Hawks,Wed Dec 21 2016,7:30 pm,92,84
Washington Wizards,Chicago Bulls,Wed Dec 21 2016,8:00 pm,107,97
Milwaukee Bucks,Cleveland Cavaliers,Wed Dec 21 2016,7:00 pm,102,113
Memphis Grizzlies,Detroit Pistons,Wed Dec 21 2016,7:30 pm,98,86
Oklahoma City Thunder,New Orleans Pelicans,Wed Dec 21 2016,8:00 pm,121,110
Houston Rockets,Phoenix Suns,Wed Dec 21 2016,9:00 pm,125,111
Dallas Mavericks,Portland Trail Blazers,Wed Dec 21 2016,10:00 pm,96,95
Sacramento Kings,Utah Jazz,Wed Dec 21 2016,9:00 pm,94,93
Golden State Warriors,Brooklyn Nets,Thu Dec 22 2016,7:30 pm,117,101
Boston Celtics,Indiana Pacers,Thu Dec 22 2016,7:00 pm,109,102
San Antonio Spurs,Los Angeles Clippers,Thu Dec 22 2016,10:30 pm,101,106
Los Angeles Lakers,Miami Heat,Thu Dec 22 2016,8:00 pm,107,115
Orlando Magic,New York Knicks,Thu Dec 22 2016,7:30 pm,95,106
Oklahoma City Thunder,Boston Celtics,Fri Dec 23 2016,7:30 pm,117,112
Chicago Bulls,Charlotte Hornets,Fri Dec 23 2016,7:00 pm,91,103
Brooklyn Nets,Cleveland Cavaliers,Fri Dec 23 2016,7:30 pm,99,119
Atlanta Hawks,Denver Nuggets,Fri Dec 23 2016,9:00 pm,109,108
Golden State Warriors,Detroit Pistons,Fri Dec 23 2016,7:30 pm,119,113
Dallas Mavericks,Los Angeles Clippers,Fri Dec 23 2016,10:30 pm,90,88
Houston Rockets,Memphis Grizzlies,Fri Dec 23 2016,8:00 pm,109,115
Washington Wizards,Milwaukee Bucks,Fri Dec 23 2016,8:00 pm,96,123
Sacramento Kings,Minnesota Timberwolves,Fri Dec 23 2016,8:00 pm,109,105
Miami Heat,New Orleans Pelicans,Fri Dec 23 2016,8:00 pm,87,91
Los Angeles Lakers,Orlando Magic,Fri Dec 23 2016,7:00 pm,90,109
Philadelphia 76ers,Phoenix Suns,Fri Dec 23 2016,9:00 pm,116,123
San Antonio Spurs,Portland Trail Blazers,Fri Dec 23 2016,10:00 pm,110,90
Toronto Raptors,Utah Jazz,Fri Dec 23 2016,9:00 pm,104,98
Golden State Warriors,Cleveland Cavaliers,Sun Dec 25 2016,2:30 pm,108,109
Los Angeles Clippers,Los Angeles Lakers,Sun Dec 25 2016,10:30 pm,102,111
Boston Celtics,New York Knicks,Sun Dec 25 2016,12:00 pm,119,114
Minnesota Timberwolves,Oklahoma City Thunder,Sun Dec 25 2016,8:00 pm,100,112
Chicago Bulls,San Antonio Spurs,Sun Dec 25 2016,5:00 pm,100,119
Charlotte Hornets,Brooklyn Nets,Mon Dec 26 2016,7:30 pm,118,120
Indiana Pacers,Chicago Bulls,Mon Dec 26 2016,8:00 pm,85,90
Cleveland Cavaliers,Detroit Pistons,Mon Dec 26 2016,7:30 pm,90,106
Phoenix Suns,Houston Rockets,Mon Dec 26 2016,8:00 pm,115,131
Denver Nuggets,Los Angeles Clippers,Mon Dec 26 2016,10:30 pm,106,102
Atlanta Hawks,Minnesota Timberwolves,Mon Dec 26 2016,8:00 pm,90,104
Dallas Mavericks,New Orleans Pelicans,Mon Dec 26 2016,8:00 pm,104,111
Memphis Grizzlies,Orlando Magic,Mon Dec 26 2016,7:00 pm,102,112
Toronto Raptors,Portland Trail Blazers,Mon Dec 26 2016,10:00 pm,95,91
Philadelphia 76ers,Sacramento Kings,Mon Dec 26 2016,10:30 pm,100,102
Milwaukee Bucks,Washington Wizards,Mon Dec 26 2016,7:00 pm,102,107
Memphis Grizzlies,Boston Celtics,Tue Dec 27 2016,7:30 pm,103,113
Houston Rockets,Dallas Mavericks,Tue Dec 27 2016,8:30 pm,123,107
Utah Jazz,Los Angeles Lakers,Tue Dec 27 2016,10:30 pm,102,100
Oklahoma City Thunder,Miami Heat,Tue Dec 27 2016,7:30 pm,106,94
New York Knicks,Atlanta Hawks,Wed Dec 28 2016,7:30 pm,98,102
Brooklyn Nets,Chicago Bulls,Wed Dec 28 2016,8:00 pm,99,101
Minnesota Timberwolves,Denver Nuggets,Wed Dec 28 2016,9:00 pm,103,105
Milwaukee Bucks,Detroit Pistons,Wed Dec 28 2016,7:30 pm,119,94
Toronto Raptors,Golden State Warriors,Wed Dec 28 2016,10:30 pm,111,121
Los Angeles Clippers,New Orleans Pelicans,Wed Dec 28 2016,8:00 pm,98,102
Charlotte Hornets,Orlando Magic,Wed Dec 28 2016,7:00 pm,120,101
Sacramento Kings,Portland Trail Blazers,Wed Dec 28 2016,10:00 pm,89,102
Phoenix Suns,San Antonio Spurs,Wed Dec 28 2016,8:30 pm,98,119
Indiana Pacers,Washington Wizards,Wed Dec 28 2016,7:00 pm,105,111
Miami Heat,Charlotte Hornets,Thu Dec 29 2016,7:00 pm,82,91
Boston Celtics,Cleveland Cavaliers,Thu Dec 29 2016,8:00 pm,118,124
Dallas Mavericks,Los Angeles Lakers,Thu Dec 29 2016,10:30 pm,101,89
Oklahoma City Thunder,Memphis Grizzlies,Thu Dec 29 2016,8:00 pm,80,114
Toronto Raptors,Phoenix Suns,Thu Dec 29 2016,9:00 pm,91,99
Philadelphia 76ers,Utah Jazz,Thu Dec 29 2016,9:00 pm,83,100
Detroit Pistons,Atlanta Hawks,Fri Dec 30 2016,8:00 pm,98,105
Miami Heat,Boston Celtics,Fri Dec 30 2016,7:30 pm,114,117
Philadelphia 76ers,Denver Nuggets,Fri Dec 30 2016,9:00 pm,124,122
Dallas Mavericks,Golden State Warriors,Fri Dec 30 2016,10:30 pm,99,108
Los Angeles Clippers,Houston Rockets,Fri Dec 30 2016,8:00 pm,116,140
Chicago Bulls,Indiana Pacers,Fri Dec 30 2016,4:00 pm,101,111
Milwaukee Bucks,Minnesota Timberwolves,Fri Dec 30 2016,8:00 pm,99,116
New York Knicks,New Orleans Pelicans,Fri Dec 30 2016,8:00 pm,92,104
Portland Trail Blazers,San Antonio Spurs,Fri Dec 30 2016,8:30 pm,94,110
Brooklyn Nets,Washington Wizards,Fri Dec 30 2016,7:00 pm,95,118
Milwaukee Bucks,Chicago Bulls,Sat Dec 31 2016,7:00 pm,116,96
Cleveland Cavaliers,Charlotte Hornets,Sat Dec 31 2016,7:00 pm,121,109
New York Knicks,Houston Rockets,Sat Dec 31 2016,8:00 pm,122,129
Los Angeles Clippers,Oklahoma City Thunder,Sat Dec 31 2016,8:00 pm,88,114
Memphis Grizzlies,Sacramento Kings,Sat Dec 31 2016,5:00 pm,112,98
Phoenix Suns,Utah Jazz,Sat Dec 31 2016,8:00 pm,86,91
San Antonio Spurs,Atlanta Hawks,Sun Jan 1 2017,6:00 pm,112,114
Orlando Magic,Indiana Pacers,Sun Jan 1 2017,6:00 pm,104,117
Toronto Raptors,Los Angeles Lakers,Sun Jan 1 2017,9:30 pm,123,114
Detroit Pistons,Miami Heat,Sun Jan 1 2017,6:00 pm,107,98
Portland Trail Blazers,Minnesota Timberwolves,Sun Jan 1 2017,7:00 pm,95,89
Utah Jazz,Brooklyn Nets,Mon Jan 2 2017,7:30 pm,101,89
Charlotte Hornets,Chicago Bulls,Mon Jan 2 2017,8:00 pm,111,118
New Orleans Pelicans,Cleveland Cavaliers,Mon Jan 2 2017,7:00 pm,82,90
Denver Nuggets,Golden State Warriors,Mon Jan 2 2017,10:30 pm,119,127
Washington Wizards,Houston Rockets,Mon Jan 2 2017,8:00 pm,91,101
Phoenix Suns,Los Angeles Clippers,Mon Jan 2 2017,10:30 pm,98,109
Oklahoma City Thunder,Milwaukee Bucks,Mon Jan 2 2017,7:00 pm,94,98
Orlando Magic,New York Knicks,Mon Jan 2 2017,7:30 pm,115,103
Utah Jazz,Boston Celtics,Tue Jan 3 2017,7:30 pm,104,115
Washington Wizards,Dallas Mavericks,Tue Jan 3 2017,8:30 pm,105,113
Sacramento Kings,Denver Nuggets,Tue Jan 3 2017,9:00 pm,120,113
Indiana Pacers,Detroit Pistons,Tue Jan 3 2017,7:30 pm,121,116
Memphis Grizzlies,Los Angeles Lakers,Tue Jan 3 2017,10:30 pm,102,116
Minnesota Timberwolves,Philadelphia 76ers,Tue Jan 3 2017,7:00 pm,91,93
Miami Heat,Phoenix Suns,Tue Jan 3 2017,9:00 pm,90,99
Toronto Raptors,San Antonio Spurs,Tue Jan 3 2017,8:30 pm,82,110
Oklahoma City Thunder,Charlotte Hornets,Wed Jan 4 2017,7:00 pm,112,123
Chicago Bulls,Cleveland Cavaliers,Wed Jan 4 2017,8:00 pm,106,94
Portland Trail Blazers,Golden State Warriors,Wed Jan 4 2017,10:30 pm,117,125
Memphis Grizzlies,Los Angeles Clippers,Wed Jan 4 2017,10:30 pm,106,115
Milwaukee Bucks,New York Knicks,Wed Jan 4 2017,7:30 pm,105,104
Atlanta Hawks,Orlando Magic,Wed Jan 4 2017,7:00 pm,111,92
Miami Heat,Sacramento Kings,Wed Jan 4 2017,10:30 pm,107,102
Phoenix Suns,Dallas Mavericks,Thu Jan 5 2017,8:30 pm,102,95
San Antonio Spurs,Denver Nuggets,Thu Jan 5 2017,9:00 pm,127,99
Charlotte Hornets,Detroit Pistons,Thu Jan 5 2017,7:30 pm,114,115
Oklahoma City Thunder,Houston Rockets,Thu Jan 5 2017,8:00 pm,116,118
Brooklyn Nets,Indiana Pacers,Thu Jan 5 2017,7:00 pm,109,121
Atlanta Hawks,New Orleans Pelicans,Thu Jan 5 2017,8:00 pm,99,94
Los Angeles Lakers,Portland Trail Blazers,Thu Jan 5 2017,10:30 pm,109,118
Utah Jazz,Toronto Raptors,Thu Jan 5 2017,7:30 pm,93,101
Philadelphia 76ers,Boston Celtics,Fri Jan 6 2017,7:30 pm,106,110
Cleveland Cavaliers,Brooklyn Nets,Fri Jan 6 2017,7:30 pm,116,108
Memphis Grizzlies,Golden State Warriors,Fri Jan 6 2017,10:30 pm,128,119
Miami Heat,Los Angeles Lakers,Fri Jan 6 2017,10:30 pm,100,127
New York Knicks,Milwaukee Bucks,Fri Jan 6 2017,8:00 pm,116,111
Houston Rockets,Orlando Magic,Fri Jan 6 2017,7:00 pm,100,93
Los Angeles Clippers,Sacramento Kings,Fri Jan 6 2017,10:30 pm,106,98
Minnesota Timberwolves,Washington Wizards,Fri Jan 6 2017,7:00 pm,105,112
New Orleans Pelicans,Boston Celtics,Sat Jan 7 2017,7:30 pm,108,117
Toronto Raptors,Chicago Bulls,Sat Jan 7 2017,8:00 pm,118,123
Atlanta Hawks,Dallas Mavericks,Sat Jan 7 2017,8:30 pm,97,82
New York Knicks,Indiana Pacers,Sat Jan 7 2017,7:00 pm,109,123
Utah Jazz,Minnesota Timberwolves,Sat Jan 7 2017,8:00 pm,94,92
Denver Nuggets,Oklahoma City Thunder,Sat Jan 7 2017,8:00 pm,106,121
Charlotte Hornets,San Antonio Spurs,Sat Jan 7 2017,8:30 pm,85,102
Philadelphia 76ers,Brooklyn Nets,Sun Jan 8 2017,12:00 pm,105,95
Miami Heat,Los Angeles Clippers,Sun Jan 8 2017,3:30 pm,86,98
Orlando Magic,Los Angeles Lakers,Sun Jan 8 2017,9:30 pm,95,111
Utah Jazz,Memphis Grizzlies,Sun Jan 8 2017,8:00 pm,79,88
Washington Wizards,Milwaukee Bucks,Sun Jan 8 2017,2:00 pm,107,101
Cleveland Cavaliers,Phoenix Suns,Sun Jan 8 2017,8:30 pm,120,116
Detroit Pistons,Portland Trail Blazers,Sun Jan 8 2017,9:00 pm,125,124
Golden State Warriors,Sacramento Kings,Sun Jan 8 2017,9:00 pm,117,106
Houston Rockets,Toronto Raptors,Sun Jan 8 2017,6:00 pm,129,122
Oklahoma City Thunder,Chicago Bulls,Mon Jan 9 2017,8:00 pm,109,94
Dallas Mavericks,Minnesota Timberwolves,Mon Jan 9 2017,8:00 pm,92,101
New Orleans Pelicans,New York Knicks,Mon Jan 9 2017,7:30 pm,110,96
Atlanta Hawks,Brooklyn Nets,Tue Jan 10 2017,7:30 pm,117,97
Miami Heat,Golden State Warriors,Tue Jan 10 2017,10:30 pm,95,107
Charlotte Hornets,Houston Rockets,Tue Jan 10 2017,8:00 pm,114,121
Portland Trail Blazers,Los Angeles Lakers,Tue Jan 10 2017,10:30 pm,108,87
Detroit Pistons,Sacramento Kings,Tue Jan 10 2017,10:30 pm,94,100
Milwaukee Bucks,San Antonio Spurs,Tue Jan 10 2017,8:30 pm,109,107
Boston Celtics,Toronto Raptors,Tue Jan 10 2017,7:30 pm,106,114
Cleveland Cavaliers,Utah Jazz,Tue Jan 10 2017,9:00 pm,92,100
Chicago Bulls,Washington Wizards,Tue Jan 10 2017,7:00 pm,99,101
Washington Wizards,Boston Celtics,Wed Jan 11 2017,8:00 pm,108,117
Orlando Magic,Los Angeles Clippers,Wed Jan 11 2017,10:30 pm,96,105
Houston Rockets,Minnesota Timberwolves,Wed Jan 11 2017,8:00 pm,105,119
Memphis Grizzlies,Oklahoma City Thunder,Wed Jan 11 2017,8:00 pm,95,103
New York Knicks,Philadelphia 76ers,Wed Jan 11 2017,7:00 pm,97,98
Cleveland Cavaliers,Portland Trail Blazers,Wed Jan 11 2017,10:30 pm,86,102
New Orleans Pelicans,Brooklyn Nets,Thu Jan 12 2017,7:30 pm,104,95
Indiana Pacers,Denver Nuggets,Thu Jan 12 2017,3:00 pm,112,140
Detroit Pistons,Golden State Warriors,Thu Jan 12 2017,10:30 pm,107,127
Chicago Bulls,New York Knicks,Thu Jan 12 2017,8:00 pm,89,104
Dallas Mavericks,Phoenix Suns,Thu Jan 12 2017,10:00 pm,113,108
Los Angeles Lakers,San Antonio Spurs,Thu Jan 12 2017,8:30 pm,94,134
Boston Celtics,Atlanta Hawks,Fri Jan 13 2017,8:00 pm,103,101
Memphis Grizzlies,Houston Rockets,Fri Jan 13 2017,8:00 pm,110,105
Miami Heat,Milwaukee Bucks,Fri Jan 13 2017,8:00 pm,108,116
Oklahoma City Thunder,Minnesota Timberwolves,Fri Jan 13 2017,8:00 pm,86,96
Charlotte Hornets,Philadelphia 76ers,Fri Jan 13 2017,7:00 pm,93,102
Orlando Magic,Portland Trail Blazers,Fri Jan 13 2017,10:00 pm,115,109
Cleveland Cavaliers,Sacramento Kings,Fri Jan 13 2017,10:30 pm,120,108
Brooklyn Nets,Toronto Raptors,Fri Jan 13 2017,7:30 pm,113,132
Detroit Pistons,Utah Jazz,Fri Jan 13 2017,10:30 pm,77,110
New Orleans Pelicans,Chicago Bulls,Sat Jan 14 2017,5:00 pm,99,107
Los Angeles Lakers,Los Angeles Clippers,Sat Jan 14 2017,3:30 pm,97,113
San Antonio Spurs,Phoenix Suns,Sat Jan 14 2017,6:00 pm,105,108
Orlando Magic,Utah Jazz,Sat Jan 14 2017,9:00 pm,107,114
Philadelphia 76ers,Washington Wizards,Sat Jan 14 2017,8:00 pm,93,109
Milwaukee Bucks,Atlanta Hawks,Sun Jan 15 2017,3:00 pm,98,111
Houston Rockets,Brooklyn Nets,Sun Jan 15 2017,6:00 pm,137,112
Minnesota Timberwolves,Dallas Mavericks,Sun Jan 15 2017,2:00 pm,87,98
Detroit Pistons,Los Angeles Lakers,Sun Jan 15 2017,9:30 pm,102,97
Chicago Bulls,Memphis Grizzlies,Sun Jan 15 2017,9:00 pm,108,104
Oklahoma City Thunder,Sacramento Kings,Sun Jan 15 2017,9:00 pm,122,118
New York Knicks,Toronto Raptors,Sun Jan 15 2017,3:00 pm,101,116
Charlotte Hornets,Boston Celtics,Mon Jan 16 2017,7:30 pm,98,108
Orlando Magic,Denver Nuggets,Mon Jan 16 2017,5:00 pm,112,125
Cleveland Cavaliers,Golden State Warriors,Mon Jan 16 2017,8:00 pm,91,126
New Orleans Pelicans,Indiana Pacers,Mon Jan 16 2017,4:00 pm,95,98
Oklahoma City Thunder,Los Angeles Clippers,Mon Jan 16 2017,10:30 pm,98,120
Philadelphia 76ers,Milwaukee Bucks,Mon Jan 16 2017,3:30 pm,113,104
Atlanta Hawks,New York Knicks,Mon Jan 16 2017,1:00 pm,108,107
Utah Jazz,Phoenix Suns,Mon Jan 16 2017,9:00 pm,106,101
Portland Trail Blazers,Washington Wizards,Mon Jan 16 2017,2:00 pm,101,120
Toronto Raptors,Brooklyn Nets,Tue Jan 17 2017,7:30 pm,119,109
Dallas Mavericks,Chicago Bulls,Tue Jan 17 2017,8:00 pm,99,98
Denver Nuggets,Los Angeles Lakers,Tue Jan 17 2017,10:30 pm,127,121
Houston Rockets,Miami Heat,Tue Jan 17 2017,7:30 pm,103,109
Minnesota Timberwolves,San Antonio Spurs,Tue Jan 17 2017,8:30 pm,114,122
New York Knicks,Boston Celtics,Wed Jan 18 2017,7:30 pm,117,106
Portland Trail Blazers,Charlotte Hornets,Wed Jan 18 2017,7:00 pm,85,107
Atlanta Hawks,Detroit Pistons,Wed Jan 18 2017,8:00 pm,95,118
Oklahoma City Thunder,Golden State Warriors,Wed Jan 18 2017,10:30 pm,100,121
Milwaukee Bucks,Houston Rockets,Wed Jan 18 2017,8:00 pm,92,111
Orlando Magic,New Orleans Pelicans,Wed Jan 18 2017,8:00 pm,98,118
Toronto Raptors,Philadelphia 76ers,Wed Jan 18 2017,7:00 pm,89,94
Indiana Pacers,Sacramento Kings,Wed Jan 18 2017,10:30 pm,106,100
Memphis Grizzlies,Washington Wizards,Wed Jan 18 2017,7:00 pm,101,104
Phoenix Suns,Cleveland Cavaliers,Thu Jan 19 2017,7:00 pm,103,118
Minnesota Timberwolves,Los Angeles Clippers,Thu Jan 19 2017,10:30 pm,104,101
Dallas Mavericks,Miami Heat,Thu Jan 19 2017,7:30 pm,95,99
Washington Wizards,New York Knicks,Thu Jan 19 2017,8:00 pm,113,110
Denver Nuggets,San Antonio Spurs,Thu Jan 19 2017,8:30 pm,104,118
Chicago Bulls,Atlanta Hawks,Fri Jan 20 2017,8:00 pm,93,102
Toronto Raptors,Charlotte Hornets,Fri Jan 20 2017,7:00 pm,78,113
Utah Jazz,Dallas Mavericks,Fri Jan 20 2017,8:30 pm,112,107
Golden State Warriors,Houston Rockets,Fri Jan 20 2017,8:00 pm,125,108
Indiana Pacers,Los Angeles Lakers,Fri Jan 20 2017,10:30 pm,95,108
Sacramento Kings,Memphis Grizzlies,Fri Jan 20 2017,8:00 pm,91,107
Brooklyn Nets,New Orleans Pelicans,Fri Jan 20 2017,8:00 pm,143,114
Milwaukee Bucks,Orlando Magic,Fri Jan 20 2017,7:00 pm,96,112
Portland Trail Blazers,Philadelphia 76ers,Fri Jan 20 2017,7:00 pm,92,93
Philadelphia 76ers,Atlanta Hawks,Sat Jan 21 2017,7:00 pm,93,110
Portland Trail Blazers,Boston Celtics,Sat Jan 21 2017,5:00 pm,127,123
Sacramento Kings,Chicago Bulls,Sat Jan 21 2017,9:00 pm,99,102
Brooklyn Nets,Charlotte Hornets,Sat Jan 21 2017,7:00 pm,105,112
San Antonio Spurs,Cleveland Cavaliers,Sat Jan 21 2017,8:30 pm,118,115
Los Angeles Clippers,Denver Nuggets,Sat Jan 21 2017,9:00 pm,98,123
Washington Wizards,Detroit Pistons,Sat Jan 21 2017,6:00 pm,112,113
Houston Rockets,Memphis Grizzlies,Sat Jan 21 2017,8:00 pm,119,95
Milwaukee Bucks,Miami Heat,Sat Jan 21 2017,7:30 pm,97,109
Phoenix Suns,New York Knicks,Sat Jan 21 2017,7:30 pm,107,105
Indiana Pacers,Utah Jazz,Sat Jan 21 2017,9:00 pm,100,109
