Orlando Magic,Cleveland Cavaliers,Dallas Mavericks,Portland Trail Blazers,Minnesota Timberwolves,Phoenix Suns,Philadelphia 76ers,Toronto Raptors,New Orleans Pelicans,Milwaukee Bucks,Los Angeles Clippers,Denver Nuggets,Oklahoma City Thunder,Atlanta Hawks,New York Knicks,Washington Wizards,Memphis Grizzlies,Brooklyn Nets,Chicago Bulls,Houston Rockets,Utah Jazz,Golden State Warriors,Boston Celtics,Indiana Pacers,San Antonio Spurs,Charlotte Hornets,Los Angeles Lakers,Detroit Pistons,Sacramento Kings,Miami Heat,Day of Week, Month,Day of Month, Year,Start (ET),PTS(Visitor),PTS(Home),Pr(Visitor), Pr(Home)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,80,0,0,7,11,9,1,6.00,97,96,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,80,0,0,0,7,11,9,1,9.50,92,107,0,1
0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,7,11,9,1,7.00,93,101,0,1
0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,7,11,9,1,8.00,95,107,0,1
0,0,0,80,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,9,1,9.00,100,116,0,1
0,0,0,0,0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,9,1,7.00,88,120,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,81,0,0,1,11,10,1,8.00,91,102,0,1
0,80,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10,1,7.00,111,118,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,80,0,0,0,0,0,0,1,11,10,1,7.00,86,97,0,1
0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,1,11,10,1,10.50,89,85,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,81,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,10,1,7.50,91,85,1,0
0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,2,11,11,1,8.50,98,106,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0,2,11,11,1,10.50,113,100,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,81,0,0,0,2,11,11,1,8.00,102,107,0,1
0,0,0,0,0,0,0,0,0,80,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,11,1,8.00,78,85,0,1
0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,2,11,11,1,10.00,100,102,0,1
81,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,11,1,7.50,100,104,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,3,11,12,1,7.50,97,100,0,1
0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,3,11,12,1,7.50,109,94,1,0
0,0,0,81,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,12,1,9.00,130,113,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,80,3,11,12,1,7.50,81,75,1,0
0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,3,11,12,1,10.00,113,101,1,0
0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,3,11,12,1,8.00,102,109,0,1
